Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,Примітки
"ПАТ ""МІБ""",поточний рахунок,26006020316815,"104851,06",Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,2016-12-31,5,2016,
"ПАТ ""МІБ""",поточний рахунок,26102010316815,860000,Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,2016-12-31,5,2016,депозитний
ПАТ “Діамантбанк”,рахунок виборчого фонду політичної партії,26433500000023,0,Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,2016-12-31,5,2016,"поточний, округ № 206"
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26431053700237,0,Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,2016-12-31,5,2016,"поточний, округ № 114"
"АБ ""Південний""",рахунок виборчого фонду політичної партії,26438050015201,0,Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,2016-12-31,5,2016,"поточний,округ № 23"
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26436052500673,0,Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,2016-12-31,5,2016,"поточний, округ № 85"
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26434052200728,0,Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,2016-12-31,5,2016,"поточний, округ № 183"
"ПАТ ""МІБ""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26007030316815,0,Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,2016-12-31,5,2016,
"АБ ""Укргазбанк""",поточний рахунок,26004924417302,0,Блок Петра Порошенка “Солідарність”,Білопільська районна організація,39813336,Сумська область,2016-12-31,5,2016,
"ПАТ ""МІБ""",поточний рахунок,26003010318161,"12964,93",Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"ПАТ ""МІБ""",поточний рахунок,26100010318161,143000,Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,депозитний
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26430055300458,3,Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26428055300181,0,Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26422055300198,0,Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26437055300730,0,Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26432500377072,0,Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"АБ ""Південний""",поточний рахунок,26006010004725,"7121,48",Блок Петра Порошенка “Солідарність”,Волинська обласна організація,39402400,Волинська область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",поточний рахунок,26005300484468,"1,1",Блок Петра Порошенка “Солідарність”,Дніпропетровська обласна організація,39795490,Дніпропетровська область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",поточний рахунок,26006300913474,"26698,34",Блок Петра Порошенка “Солідарність”,Донецька обласна організація,39645186,Донецька область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",поточний рахунок,29092300913474,0,Блок Петра Порошенка “Солідарність”,Донецька обласна організація,39645186,Донецька область,2016-12-31,5,2016,рахунок для зарахування з/п
