Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26055055311606,"3,39",Українське обʼєднання патріотів – УКРОП,Вінницька обласна організація,39901123,Вінницька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26002055324323,"1114,95",Українське обʼєднання патріотів – УКРОП,Вінницька обласна організація,39901123,Вінницька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26437055500661,0,Українське обʼєднання патріотів – УКРОП,Волинська обласна організація,39946248,Волинська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007055507180,"6145,24",Українське обʼєднання патріотів – УКРОП,Волинська обласна організація,39946248,Волинська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26438050200737,0,Українське обʼєднання патріотів – УКРОП,Дніпропетровська обласна організація,39874446,Дніпропетровська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007050259982,"28405,7",Українське обʼєднання патріотів – УКРОП,Дніпропетровська обласна організація,39874446,Дніпропетровська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000055804505,"1686,21",Українське обʼєднання патріотів – УКРОП,Житомирська обласна організація,39925338,Житомирська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006053910024,"1586,85",Українське обʼєднання патріотів – УКРОП,Закарпатська обласна організація,40031888,Закарпатська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009055720384,"348,2",Українське обʼєднання патріотів – УКРОП,Запорізька обласна організація,39923938,Запорізька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26431052500775,0,Українське обʼєднання патріотів – УКРОП,Івано-Франківська обласна організація,39915162,Івано-Франківська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007052513345,"2291,43",Українське обʼєднання патріотів – УКРОП,Івано-Франківська обласна організація,39915162,Івано-Франківська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001052741968,"1057,24",Українське обʼєднання патріотів – УКРОП,Київська міська організація,39976560,Київ,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003052766800,"7538,37",Українське обʼєднання патріотів – УКРОП,Київська обласна організація,39949818,Київська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009052911811,0,Українське обʼєднання патріотів – УКРОП,Кіровоградська обласна організація,39922803,Кіровоградська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26057052908423,0,Українське обʼєднання патріотів – УКРОП,Кіровоградська обласна організація,39922803,Кіровоградська область,2016-12-31,5,2016,картковий
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26432053701439,0,Українське обʼєднання патріотів – УКРОП,Луганська обласна організація,39965606,Луганська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26054053821083,0,Українське обʼєднання патріотів – УКРОП,Львівська обласна організація,39923503,Львівська область,2016-12-31,5,2016,картковий
"ПАТ КБ ""Приватбанк""",поточний рахунок,26048053805747,0,Українське обʼєднання патріотів – УКРОП,Львівська обласна організація,39923503,Львівська область,2016-12-31,5,2016,соцстрах
