Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26000368825,"666543,34",Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,2017-03-31,1,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26000496515,"707,26",Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,2017-03-31,1,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26008496517,54399,Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,2017-03-31,1,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26009496516,0,Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,2017-03-31,1,2017
"АТ ""Райффайзен банк Аваль""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26002532154,"3952185,89",Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,2017-03-31,1,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26000368825,"659569,66",Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,2017-06-30,2,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26000496515,"163,94",Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,2017-06-30,2,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26008496516,0,Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,2017-06-30,2,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26008496517,12305,Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,2017-06-30,2,2017
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26437055700169,"88,5",Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,2017-06-30,2,2017
"АТ ""Райффайзен банк Аваль""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26002532154,"619017,59",Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,2017-06-30,2,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26000368825,300,Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,30.09.2017,3,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26008496517,0,Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,30.09.2017,3,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26009496516,0,Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,30.09.2017,3,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26000496515,0,Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,30.09.2017,3,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26006580179,"769622,42",Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,30.09.2017,3,2017
"АТ ""Райффайзен банк Аваль""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26002532154,197,Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,30.09.2017,3,2017
"АТ ""Райффайзен банк Аваль""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26009580176,"1024273,16",Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,30.09.2017,3,2017
"АТ ""Райффайзен Банк Аваль""",поточний,26006580179,"89495,15",Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,31.12.2017,4,2017
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26424301679685,50,Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,31.12.2017,4,2017
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26420051400273,50,Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,31.12.2017,4,2017
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26431052300586,7370,Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,31.12.2017,4,2017
"АТ ""Райффайзен Банк Аваль""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності ,26009580176,0,Радикальна партія Олега Ляшка,Центральний офіс,37279703,Україна,31.12.2017,4,2017
