Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
ПАТ КБ “Приватбанк”,поточний рахунок,26000052634643,1250,Сила людей,Центральний офіс,39378656,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26009052626812,"1,09",Сила людей,Центральний офіс,39378656,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052636845,"500,75",Сила людей,Центральний офіс,39378656,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26006052628084,0,Сила людей,Центральний офіс,39378656,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26002052638755,"333,53",Сила людей,Центральний офіс,39378656,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26009052644106,1000,Сила людей,Центральний офіс,39378656,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052688042,0,Сила людей,Центральний офіс,39378656,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26002052633448,0,Сила людей,Центральний офіс,39378656,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26004052674988,0,Сила людей,Центральний офіс,39378656,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26005052678596,0,Сила людей,Центральний офіс,39378656,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052634643,2300,Сила людей,Центральний офіс,39378656,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26009052626812,"1781,74",Сила людей,Центральний офіс,39378656,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052636845,"1995,47",Сила людей,Центральний офіс,39378656,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26006052628084,"69,82",Сила людей,Центральний офіс,39378656,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26002052638755,"3940,4",Сила людей,Центральний офіс,39378656,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26009052644106,"12800,85",Сила людей,Центральний офіс,39378656,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052688042,0,Сила людей,Центральний офіс,39378656,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26002052633448,0,Сила людей,Центральний офіс,39378656,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26004052674988,0,Сила людей,Центральний офіс,39378656,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26005052678596,0,Сила людей,Центральний офіс,39378656,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052634643,2300,Сила людей,Центральний офіс,39378656,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26009052626812,"1781,74",Сила людей,Центральний офіс,39378656,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052636845,"1995,47",Сила людей,Центральний офіс,39378656,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26006052628084,"69,82",Сила людей,Центральний офіс,39378656,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26002052638755,"3940,4",Сила людей,Центральний офіс,39378656,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26009052644106,"12800,85",Сила людей,Центральний офіс,39378656,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052688042,0,Сила людей,Центральний офіс,39378656,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26002052633448,0,Сила людей,Центральний офіс,39378656,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26004052674988,0,Сила людей,Центральний офіс,39378656,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26005052678596,0,Сила людей,Центральний офіс,39378656,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000053701317,0,Сила людей,Львівська обласна організація,39943818,Львівська область,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26051053700141,0,Сила людей,Львівська обласна організація,39943818,Львівська область,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26005053145849,"46,51",Сила людей,Бориспільська міська організація,39993209,Київська область,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000055022958,541,Сила людей,Глухівська міська організація,40496853,Сумська область,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26001052660542,34,Сила людей,Дніпровська районна організація,40418843,Київ,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000055716739,"18266,1",Сила людей,Запорізька міська організація,40031212,Запорізька область,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26003052764578,0,Сила людей,Київська міська організація,39989915,Київ,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26054052731516,24,Сила людей,Київська міська організація,39989915,Київ,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052604705,"43,2",Сила людей,Київська міська організація,39989915,Київ,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26049052706794,"173,57",Сила людей,Київська міська організація,39989915,Київ,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26008053509413,"2765,11",Сила людей,Криворізька міська організація,40009611,Дніпропетровська область,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26004054716233,"6565,25",Сила людей,Кузнецовська міська організація,40220555,Рівненська область,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26005052614165,"1102,9",Сила людей,Печерська районна організація,40578087,Київ,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26009055020252,"75,4",Сила людей,Сумська обласна організація,40335165,Сумська область,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26004055112913,0,Сила людей,Тернопільська міська організація,40053063,Тернопільська область,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26005055017106,245,Сила людей,Тростянецька районна організація,39713177,Сумська область,31.03.2017,1,2017
ПАТ “Укрсоцбанк”,поточний рахунок,26000011694532,"59,44",Сила людей,Чортківська міська організація,39921438,Тернопільська область,31.03.2017,1,2017
ПАТ “Укрсоцбанк”,поточний рахунок,26008011703566,"150,89",Сила людей,Чортківська районна організація,39921464,Тернопільська область,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26005053145849,"1746,51",Сила людей,Бориспільська міська організація,39993209,Київська область,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000055022958,541,Сила людей,Глухівська міська організація,40496853,Сумська область,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26001052660542,0,Сила людей,Дніпровська районна організація,40418843,Київ,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26003052764578,"1790,37",Сила людей,Київська міська організація,39989915,Київ,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26054052731516,0,Сила людей,Київська міська організація,39989915,Київ,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052604705,"1440,2",Сила людей,Київська міська організація,39989915,Київ,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26049052706794,"173,57",Сила людей,Київська міська організація,39989915,Київ,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26008053509413,"186,42",Сила людей,Криворізька міська організація,40009611,Дніпропетровська область,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26004054716233,"6565,25",Сила людей,Кузнецовська міська організація,40220555,Рівненська область,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26005052614165,"195,9",Сила людей,Печерська районна організація,40578087,Київ,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26004055112913,0,Сила людей,Тернопільська міська організація,40053063,Тернопільська область,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26005055017106,150,Сила людей,Тростянецька районна організація,39713177,Сумська область,30.06.2017,2,2017
