Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"ПАТ ""Діамантбанк""",поточний рахунок,26005300002745,"573,64",Народний фронт,Центральний офіс,39181335,Україна,2019-03-31,1,2019
"АТ ""Ощадбанк""",поточний рахунок,26008300001777,"4254882,58",Народний фронт,Центральний офіс,39181335,Україна,2019-03-31,1,2019
"АТ ""Ощадбанк""",поточний рахунок,26042300001777,0,Народний фронт,Центральний офіс,39181335,Україна,2019-03-31,1,2019
"АТ ""Ощадбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26004100001777,"5950380,36",Народний фронт,Центральний офіс,39181335,Україна,2019-03-31,1,2019
"ПАТ ""Діамантбанк""",поточний рахунок,26005300002745,"573,64",Народний фронт,Центральний офіс,39181335,Україна,2019-06-30,2,2019
"АТ ""Ощадбанк""",поточний рахунок,26008300001777,"4276182,9",Народний фронт,Центральний офіс,39181335,Україна,2019-06-30,2,2019
"АТ ""Ощадбанк""",поточний рахунок,26042300001777,0,Народний фронт,Центральний офіс,39181335,Україна,2019-06-30,2,2019
"АТ ""Ощадбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26004100001777,"18037090,65",Народний фронт,Центральний офіс,39181335,Україна,2019-06-30,2,2019
"ПАТ ""Діамантбанк""",поточний рахунок,26005300002745,"573,64",Народний фронт,Центральний офіс,39181335,Україна,2019-09-30,3,2019
"АТ ""Ощадбанк""",поточний рахунок,26008300001777,"4372920,71",Народний фронт,Центральний офіс,39181335,Україна,2019-09-30,3,2019
"АТ ""Ощадбанк""",поточний рахунок,26042300001777,0,Народний фронт,Центральний офіс,39181335,Україна,2019-09-30,3,2019
"АТ ""Ощадбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26004100001777,"29149392,08",Народний фронт,Центральний офіс,39181335,Україна,2019-09-30,3,2019
"ПАТ ""Діамантбанк""",поточний рахунок,26005300002745,"573,64",Народний фронт,Центральний офіс,39181335,Україна,2019-12-31,4,2019
"АТ ""Ощадбанк""",поточний рахунок,26008300001777,"2953942,84",Народний фронт,Центральний офіс,39181335,Україна,2019-12-31,4,2019
"АТ ""Ощадбанк""",поточний рахунок,26042300001777,0,Народний фронт,Центральний офіс,39181335,Україна,2019-12-31,4,2019
"АТ ""Ощадбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26004100001777,0,Народний фронт,Центральний офіс,39181335,Україна,2019-12-31,4,2019
