Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001053732835,"47451,19","Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-03-31,1,2019,
"АБ ""Укргазбанк""",поточний рахунок,26045903290725,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-03-31,1,2019,
"АБ ""Укргазбанк""",рахунок виборчого фонду політичної партії,26409000000001,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-03-31,1,2019,
"АБ ""Укргазбанк""",рахунок виборчого фонду політичної партії,26408000000002,"67,97","Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-03-31,1,2019,
"АБ ""Укргазбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26008924418040,"1626624,65","Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-03-31,1,2019,
невідомо,поточний рахунок,3111113,0,"Обʼєднання ""Самопоміч""",Андрушівська районна організація,39932916,Житомирська область,2019-03-31,1,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003055805103,0,"Обʼєднання ""Самопоміч""",Баранівська районна організація,39915995,Житомирська область,2019-03-31,1,2019,
"АТ ""Ощадбанк""",поточний рахунок,26000171311565,"137,89","Обʼєднання ""Самопоміч""",Барська районна організація,39919455,Вінницька область,2019-03-31,1,2019,
"АТ ""Ощадбанк""",поточний рахунок,26008301906419,0,"Обʼєднання ""Самопоміч""",Бердичівська міська організація,40012509,Житомирська область,2019-03-31,1,2019,
невідомо,поточний рахунок,311111,0,"Обʼєднання ""Самопоміч""",Бердичівська районна організація,39915010,Житомирська область,2019-03-31,1,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001055325259,"10129,58","Обʼєднання ""Самопоміч""",Вінницька міська організація,39916686,Вінницька область,2019-03-31,1,2019,
"АБ ""Укргазбанк""",поточний рахунок,26009924419253,0,"Обʼєднання ""Самопоміч""",Вінницька міська організація,39916686,Вінницька область,2019-03-31,1,2019,
