Вид фінансових зобовʼязань,Дата виникнення,Сума (вартість) зобовʼязання на момент виникнення,Дата припинення,Сума (вартість) зобовʼязання на момент припинення,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),"Сума (вартість) на кінець звітного періоду, грн",Тип особи,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
Плата за надання послуг з ведення бухгалтерського обліку,2018-11-30,10000,,10000,"АДВОКАТСЬКЕ БЮРО ""КАЧУРА ЛОЄРС""",41172969,"Київ, вулиця Січових Стрільців, 77",10000,юридична особа,Слуга народу,Центральний офіс,40422142,Україна,5,2018
Плата за надання послуг з ведення бухгалтерського обліку,2018-12-31,10000,,10000,"АДВОКАТСЬКЕ БЮРО ""КАЧУРА ЛОЄРС""",41172969,"Київ, вулиця Січових Стрільців, 77",10000,юридична особа,Слуга народу,Центральний офіс,40422142,Україна,5,2018
Плата за суборенду приміщення,2019-03-31,18000,,18000,"ТОВ ""КАР-ГІЛ""",41662682,"Дніпропетровська область, Кривий Ріг, проспект Миру, 33",18000,юридична особа,Слуга народу,Центральний офіс,40422142,Україна,1,2019
Плата за оренду приміщення,2019-03-31,"30170,5",,"30170,5","ТОВ ""КІНОСТОЛИЦЯ""",37633561,"Київ, бульвар Лесі Українки, 5А","30170,5",юридична особа,Слуга народу,Центральний офіс,40422142,Україна,1,2019
Плата за надання послуг з ведення бухгалтерського обліку,2019-05-31,27000,,27000,"АДВОКАТСЬКЕ БЮРО ""КАЧУРА ЛОЄРС""",41172969,"Київ, вулиця Січових Стрільців, 77",27000,юридична особа,Слуга народу,Центральний офіс,40422142,Україна,2,2019
Плата за надання послуг з ведення бухгалтерського обліку,2019-06-30,10000,,10000,"АДВОКАТСЬКЕ БЮРО ""КАЧУРА ЛОЄРС""",41172969,"Київ, вулиця Січових Стрільців, 77",10000,юридична особа,Слуга народу,Центральний офіс,40422142,Україна,2,2019
Адміністративні послуги для забезпечення користування приміщеннями ,2019-06-30,"9543,58",,"9543,58","ТОВ ""ВІЗА КОНСАЛТ ГРУП""",33481026,"Харківська область, Харків, вулиця Алчевських, 31","9543,58",юридична особа,Слуга народу,Центральний офіс,40422142,Україна,2,2019
Плата за суборенду приміщення,2019-06-30,18000,,18000,"ТОВ ""КАР-ГІЛ""",41662682,"Дніпропетровська область, Кривий Ріг, проспект Миру, 33",18000,юридична особа,Слуга народу,Центральний офіс,40422142,Україна,2,2019
Плата за оренду приміщення,2019-06-30,758730,,758730,"ТОВ ""КІНОСТОЛИЦЯ""",37633561,"Київ, бульвар Лесі Українки, 5А",758730,юридична особа,Слуга народу,Центральний офіс,40422142,Україна,2,2019
Плата за суборенду приміщення,2019-07-30,36000,,36000,"ТОВ ""КАР-ГІЛ""",41662682,"Дніпропетровська область, Кривий Ріг, проспект Миру, 33",36000,юридична особа,Слуга народу,Центральний офіс,40422142,Україна,3,2019
Плата за суборенду приміщення,2019-09-30,758730,,758730,"ТОВ ""КІНОСТОЛИЦЯ""",37633561,"Київ, бульвар Лесі Українки, 5А",758730,юридична особа,Слуга народу,Центральний офіс,40422142,Україна,3,2019
Плата за суборенду приміщення,2019-09-30,30500,,30500,"ТОВ ""ТЦ ""ПРОСПЕКТ""",42803108,"Дніпропетровська область, Кривий Ріг, площа Горького, 10",30500,юридична особа,Слуга народу,Центральний офіс,40422142,Україна,3,2019
Комунальні платежі,,"3924,36",,"3924,36","ТОВ ""ТЦ ""ПРОСПЕКТ""",42803108,"Дніпропетровська область, Кривий Ріг, площа Горького, 10","3924,36",юридична особа,Слуга народу,Центральний офіс,40422142,Україна,3,2019
Плата за надання послуг з ведення бухгалтерського обліку,2019-12-31,50000,,50000,Шульгіна Алла Олексіївна,,,50000,ФОП,Слуга народу,Центральний офіс,40422142,Україна,4,2019
Оренда приміщення,2019-12-31,"125312,7",,"125312,7","ТОВ ""АГЕНЦІЯ ""ПЕЧЕРСЬКІ ЗОРІ""",42713012,"Київ, вулиця Глибочицька, 32б","125312,7",юридична особа,Слуга народу,Центральний офіс,40422142,Україна,4,2019
Оренда приміщення,2019-12-31,119056,,119056,"ТОВ ""АГЕНЦІЯ ""СТАРИЙ ПОДІЛ""",42712978,"Київ, вулиця Глибочицька, 32б",119056,юридична особа,Слуга народу,Центральний офіс,40422142,Україна,4,2019
Оренда приміщення,2019-12-31,61000,,61000,"ТОВ ""Торгівельний центр 95""",43218224,"Дніпропетровська область, Кривий Ріг, площа Горького, 10",61000,юридична особа,Слуга народу,Центральний офіс,40422142,Україна,4,2019
Оплата послуг,2019-12-31,"23273,82",,"23273,82","ТОВ ""ТЦ ""ПРОСПЕКТ""",42803108,"Дніпропетровська область, Кривий Ріг, площа Горького, 10","23273,82",юридична особа,Слуга народу,Центральний офіс,40422142,Україна,4,2019
Оплата послуг,,"95487,86",,"95487,86","ТОВ ""АКАМАНТ""",37956495,"Київ, Паркова дорога, 16, 139","95487,86",юридична особа,Слуга народу,Центральний офіс,40422142,Україна,4,2019
