Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"ПАТ АБ ""Украгазбанк"", код банку 320478",рахунок для соціальних виплат,UA223204780000026046903289478,0,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний Офіс,20069956,Україна,2020-12-31,"1,2,3,4",2020
"ПАТ АБ ""Украгазбанк"", код банку 320478",поточний рахунок,UA483204780000026007212001988,1289,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний Офіс,20069956,Україна,2020-12-31,"1,2,3,4",2020
"АТ ""Банк Січ"", код банку 380816",поточний рахунок,UA373808160000026008001201684,204.84,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний Офіс,20069956,Україна,2020-12-31,"1,2,3,4",2020
"АТ ""Мегабанк"", код банку 351629",поточний рахунок,UA 62 351629 0000000002600426373,190679.83,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний Офіс,20069956,Україна,2020-12-31,"1,2,3,4",2020
"АТ ""Правекс Банк"" , код банку 3000001","рахунок для відшкодування витрат, повʼязаних із фінансуванням передвиборної агітації",UA303808380000026008700622652.,206721.71,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний Офіс,20069956,Україна,2020-12-31,"1,2,3,4",2020
"АТ ""Мегабанк"", код банку 351629",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,UA 36 351629 0000000002604826373,0,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний Офіс,20069956,Україна,2020-12-31,"1,2,3,4",2020
"ПАТ КБ ""Приватбанк"", ЄРДПОУ/ДРФО 25951149",поточний рахунок,UA663218420000026008053013484,0,"Всеукраїнське обʼєднання ""Батьківщина""",Вишгородська Районна Організація,25951149,Київська область,2020-12-31,"1,2,3,4",2020
"ПАТ акціонерний банк ""Украгазбанк""",поточний рахунок,UA853204780000026001924857727,382253.54,"Всеукраїнське обʼєднання ""Батьківщина""",Волинська Обласна Організація,25787544,Волинська область,2020-12-31,"1,2,3,4",2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA823333910000026009054729281,92.93,"Всеукраїнське обʼєднання ""Батьківщина""",Володимирецька Районна Організація,25930311,Рівненська область,2020-12-31,"1,2,3,4",2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA573154050000026006052428332,0,"Всеукраїнське обʼєднання ""Батьківщина""",Волочиська Районна Організація,25889569,Хмельницька область,2020-12-31,"1,2,3,4",2020
"АТ ""Ощадбанк""",поточний рахунок,UA393257960000026001300573537,0,"Всеукраїнське обʼєднання ""Батьківщина""",Галицька Районна Організація,25258461,Львівська область,2020-12-31,"1,2,3,4",2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA823375460000026004055019365,,"Всеукраїнське обʼєднання ""Батьківщина""",Глухівська Міська Організація,24015957,Сумська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA453375460000026007055023518,,"Всеукраїнське обʼєднання ""Батьківщина""",Глухівська Районна Організація,40572420,Сумська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA163154050000026007052304488,0,"Всеукраїнське обʼєднання ""Батьківщина""",Городоцька Районна Організація,25834634,Хмельницька область,2020-12-31,"1,2,3,4",2020
"Філія-Львівське обласне управління АТ ""Ощадбанк"" ТВБВ №10013\039, МФО 325796",поточний рахунок,UA453257960000026000300560756,0,"Всеукраїнське обʼєднання ""Батьківщина""",Городоцька Районна Організація,33811878,Львівська область,2020-12-31,"1,2,3,4",2020
"ПАТ КБ ""Приватбанк"", Маріупольська філія",поточний рахунок,UA52 335429 00000 26005054005253,,"Всеукраїнське обʼєднання ""Батьківщина""",Донецька Обласна Організація,26502259,Донецька область,2020-12-31,"1,2,3,4",2020
"АТ ""Укрексімбанк""",поточний рахунок,UA 93 322313 0000026004000045552,19328,"Всеукраїнське обʼєднання ""Батьківщина""",Донецька Обласна Організація,26502259,Донецька область,2020-12-31,"1,2,3,4",2020
