Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"ПАТ ""Мегабанк""",поточний рахунок,26002260475,"1174,92",Наш край,Центральний офіс,37724082,Україна,2016-12-31,5,2016
невідомо,поточний рахунок,3996351763677,0,Наш край,Ананьївська районна організація,39963677,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966631763677,0,Наш край,Арцизська районна організація ,39688319,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178227,0,Наш край,Білгород-Дністровська районна  організація,39967205,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178228,0,Наш край,Березівська  районна організація,39984262,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178229,0,Наш край,Біляївська районна організація,39965847,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178230,0,Наш край,Болградська районна організація,39687231,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178231,0,Наш край,Білгород-Дністровська міська організація,39798821,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178232,0,Наш край,Ізмаїльська районна організація,39692482,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178233,0,Наш край,Кілійська районна організація,39696980,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178234,0,Наш край,Кодимська районна організація ,39961355,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178235,0,Наш край,Комінтернівська районна організація ,39964225,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178236,0,Наш край,Котовська районна організація,39947105,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178237,0,Наш край,Окнянська районна організація,39835386,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178238,0,Наш край,Ізмаїльська міська організація,39961926,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178239,0,Наш край,Іллічівська міська організація,39672876,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178240,0,Наш край,Котовськ міська організація,39830319,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178241,0,Наш край,Миколаївська районна організація,39965779,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178242,0,Наш край,Овідіопольська районна організація,39845656,Одеська область,2016-12-31,5,2016
"АБ ""Південний""",поточний рахунок,26009010007815,"4799,53",Наш край,Одеська обласна організація ,39573866,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178243,0,Наш край,Ренійська районна організація,39700503,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178244,0,Наш край,Савранська районна організація,39794958,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178245,0,Наш край,Саратська районна організація,39660602,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178246,0,Наш край,Тарутинська районна організація,39694867,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178247,0,Наш край,Татарбунарська районна організація,39969019,Одеська область,2016-12-31,5,2016
невідомо,поточний рахунок,3966635178248,0,Наш край,Ширяївська районна організація,39816819,Одеська область,2016-12-31,5,2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005053139598,"2207,05",Наш край,Бориспільська міська організація,40030617,Київська область,2016-12-31,5,2016
"АТ ""Ощадбанк""",поточний рахунок,26006300654873,0,Наш край,Волинська обласна організація,39999682,Волинська область,2016-12-31,5,2016
"ПАТ ""Мегабанк""",поточний рахунок,26000040299,"340,38",Наш край,Донецька обласна організація,39878456,Донецька область,2016-12-31,5,2016
"ПАТ ""Мегабанк""",поточний рахунок,26001050000461,"1551,4",Наш край,Житомирська обласна організація,40006563,Житомирська область,2016-12-31,5,2016
"АТ ""Ощадбанк""",поточний рахунок,26000300238443,"7334,67",Наш край,Запорізька обласна організація,39968366,Запорізька область,2016-12-31,5,2016
"ПАТ ""Мегабанк""",поточний рахунок,26000260477,"690,39",Наш край,Київська міська організація,39812835,Київ,2016-12-31,5,2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004056211392,"0,7",Наш край,Київська обласна організація,39863371,Київська область,2016-12-31,5,2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000056214713,0,Наш край,Київська обласна організація,39863371,Київська область,2016-12-31,5,2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007052912210,3190,Наш край,Кіровоградська обласна організація,39992535,Кіровоградська область,2016-12-31,5,2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001052912421,0,Наш край,Кіровоградська міська організація,39973659,Кіровоградська область,2016-12-31,5,2016
"АБ ""Укргазбанк"" ",поточний рахунок,26008288858,"537,18",Наш край,Луганська обласна організація,39966023,Луганська область,2016-12-31,5,2016
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26434053700568,0,Наш край,Луганська обласна організація,39966023,Луганська область,2016-12-31,5,2016
"ПАТ ""Мегабанк""",поточний рахунок,26006130675,"6834,71",Наш край,Львівська обласна організація,39981738,Львівська область,2016-12-31,5,2016
"ПАТ ""Мегабанк""",поточний рахунок,26003140602,"1217,67",Наш край,Миколаївська обласна організація,39956738,Миколаївська область,2016-12-31,5,2016
"ПАТ ""Мегабанк""",поточний рахунок,2600012178,"9236,31",Наш край,Харківська обласна організація,39972241,Харківська область,2016-12-31,5,2016
"ПАТ ""Мегабанк""",поточний рахунок,26004210887,"96812,32",Наш край,Херсонська обласна організація,39833792,Херсонська область,2016-12-31,5,2016
"АТ ""Ощадбанк""",поточний рахунок,26005300454791,"93,1",Наш край,Чернівецька обласна організація,39950280,Чернівецька область,2016-12-31,5,2016
"ПАТ ""Мегабанк""",поточний рахунок,26003240342,"83467,7",Наш край,Чернігівська обласна організація,39975897,Чернігівська область,2016-12-31,5,2016
"ПАТ ""Мегабанк""",поточний рахунок,26002260475,"1817,49",Наш край,Центральний офіс,37724082,Україна,2017-12-31,5,2017
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005053139598,"2107,05",Наш край,Бориспільська міська організація,40030617,Київська область,2017-12-31,5,2017
