Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"ПАТ КБ ""Правекс-банк""",поточний рахунок,UA603808380000026003700467179,"1202,8",Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,2020-03-31,1,2020
"АТ ""Кристалбанк""",поточний рахунок,UA713390500000026003002085864,0,Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,2020-03-31,1,2020
"АТ ""Кристалбанк""",рахунок виборчого фонду політичної партії,UA663390500000026002003085864,"248379,8",Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,2020-03-31,1,2020
"АТ ""Кристалбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,UA763390500000026004001085864,"8502769,2",Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,2020-03-31,1,2020
невідомо,поточний рахунок,197519,0,Опозиційна платформа - За життя,Черкаська обласна організація,41850466,Черкаська область,2020-03-31,1,2020
невідомо,поточний рахунок,197513,0,Опозиційна платформа - За життя,Чернігівська міська організація,41443095,Чернігівська область,2020-03-31,1,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA 453535860000026007051423059,0,Опозиційна платформа - За життя,Чернігівська обласна організація,40956783,Чернігівська область,2020-03-31,1,2020
"АБ ""Укргазбанк""",поточний рахунок,UA 463204780000026007924878595,0,Опозиційна платформа - За життя,Чернівецька обласна організація,41656616,Чернівецька область,2020-03-31,1,2020
"ПАТ ""ПУМБ""",поточний рахунок,UA903348510000000002600948745,"3004,99",Опозиційна платформа - За життя,Дніпропетровська обласна організація,41549539,Дніпропетровська область,2020-03-31,1,2020
"АТ ""Таскомбанк""",поточний рахунок,UA353395000000026001442143001,0,Опозиційна платформа - За життя,Донецька обласна організація,41767043,Донецька область,2020-03-31,1,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA 943366770000026009052547836,0,Опозиційна платформа - За життя,Івано-Франківська обласна організація,41978263,Івано-Франківська область,2020-03-31,1,2020
"АТ ""Комерційний індустріальний банк""",поточний рахунок,UA493225400000026003101031935,"2108,7",Опозиційна платформа - За життя,Харківська обласна організація,33900035,Харківська область,2020-03-31,1,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA 773154050000026001052328329,0,Опозиційна платформа - За життя,Хмельницька обласна організація,41450186,Хмельницька область,2020-03-31,1,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA393235830000026007052923685,1177,Опозиційна платформа - За життя,Кіровоградська обласна організація,41478573,Кіровоградська область,2020-03-31,1,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA 79305700000026000053519207,"1172,15",Опозиційна платформа - За життя,Криворізька міська організація,42121077,Дніпропетровська область,2020-03-31,1,2020
"АТ ""Кристалбанк""",поточний рахунок,UA533390500000026007001094421,0,Опозиційна платформа - За життя,Київська міська організація,40398712,Київ,2020-03-31,1,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008052718981,0,Опозиційна платформа - За життя,Київська обласна організація,34001929,Київська область,2020-03-31,1,2020
"АБ ""Кліринговий дім""",поточний рахунок,UA293006470000026001011247700,3380,Опозиційна платформа - За життя,Луганська обласна організація,41366346,Луганська область,2020-03-31,1,2020
невідомо,поточний рахунок,197512,0,Опозиційна платформа - За життя,Львівська обласна організація,41468565,Львівська область,2020-03-31,1,2020
невідомо,поточний рахунок,19756,0,Опозиційна платформа - За життя,Миколаївська міська організація,37278736,Миколаївська область,2020-03-31,1,2020
невідомо,поточний рахунок,19755,0,Опозиційна платформа - За життя,Миколаївська обласна організація,36579383,Миколаївська область,2020-03-31,1,2020
"АТ ""Комерційний індустріальний банк""",поточний рахунок,26008101024806,0,Опозиційна платформа - За життя,Одеська міська організація,42573672,Одеська область,2020-03-31,1,2020
"ПАТ ""Банк Восток""",поточний рахунок,UA063071230000026001010511596,0,Опозиційна платформа - За життя,Одеська обласна організація,34055433,Одеська область,2020-03-31,1,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA233314010000026009054226308,0,Опозиційна платформа - За життя,Полтавська обласна організація,41406556,Полтавська область,2020-03-31,1,2020
невідомо,поточний рахунок,197518,0,Опозиційна платформа - За життя,Рівненська обласна організація,41772891,Рівненська область,2020-03-31,1,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA453375460000026006055026947,109,Опозиційна платформа - За життя,Сумська обласна організація,40899474,Сумська область,2020-03-31,1,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA763375460000029245055007928,0,Опозиційна платформа - За життя,Сумська обласна організація,40899474,Сумська область,2020-03-31,1,2020
"ПАТ КБ ""Приватбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,UA933375460000026003055040250,0,Опозиційна платформа - За життя,Сумська обласна організація,40899474,Сумська область,2020-03-31,1,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA863387830000026001055124272,0,Опозиційна платформа - За життя,Тернопільська обласна організація,42267883,Тернопільська область,2020-03-31,1,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA613026890000026008055328839,0,Опозиційна платформа - За життя,Вінницька обласна організація,41278737,Вінницька область,2020-03-31,1,2020
"АБ ""Укргазбанк""",поточний рахунок,UA 303204780000026001924874625,0,Опозиційна платформа - За життя,Волинська обласна організація,42498868,Волинська область,2020-03-31,1,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA 273123780000026008053819736,0,Опозиційна платформа - За життя,Закарпатська обласна організація,41433071,Закарпатська область,2020-03-31,1,2020
"АТ ""Ощадбанк""",поточний рахунок,UA293139570000026008300696560,"17098,71",Опозиційна платформа - За життя,Запорізька обласна організація,39400010,Запорізька область,2020-03-31,1,2020
"АТ ""Ощадбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,UA243139570000026007301696560,0,Опозиційна платформа - За життя,Запорізька обласна організація,39400010,Запорізька область,2020-03-31,1,2020
"АБ ""Укргазбанк""",поточний рахунок,UA643204780000026008924855733,300,Опозиційна платформа - За життя,Житомирська обласна організація,42417904,Житомирська область,2020-03-31,1,2020
"АБ ""Укргазбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,UA173204780000026009924884190,0,Опозиційна платформа - За життя,Житомирська обласна організація,42417904,Житомирська область,2020-03-31,1,2020
невідомо,поточний рахунок,197520,0,Опозиційна платформа - За життя,Херсонська обласна організація,42162684,Херсонська область,2020-03-31,1,2020
