"Вид фінансових зобовʼязань","Дата виникнення","Сума (вартість) зобовʼязання на момент виникнення","Дата припинення","Сума (вартість) зобовʼязання на момент припинення","ПІБ (для фіз. осіб)/Назва (для юр. осіб)","Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб)","Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб)","Сума (вартість) на кінець звітного періоду, грн","Тип особи","Партія","Місцева організація","Код ЄДРПОУ осередку","Географічний обʼєкт","Квартал","Рік"
"Кредиторська заборгованість","2018-04-09","2082412,8",,,"ТОВ ""ІНТЕР РЕКЛАМА ЦЕНТР""","30524103","Київ, вулиця Бульварно-Кудрявська, 22А","2082412,8","юридична особа","Опозиційний блок","Центральний офіс",37120464,"Україна",1,2020
"Кредиторська заборгованість","2018-05-08",1286766,,,"ТОВ ""ІНТЕР РЕКЛАМА ЦЕНТР""","30524103","Київ, вулиця Бульварно-Кудрявська, 22А",1286766,"юридична особа","Опозиційний блок","Центральний офіс",37120464,"Україна",1,2020
"Кредиторська заборгованість","2018-07-15",4064580,,,"ТОВ ""ІНТЕР РЕКЛАМА ЦЕНТР""","30524103","Київ, вулиця Бульварно-Кудрявська, 22А",4064580,"юридична особа","Опозиційний блок","Центральний офіс",37120464,"Україна",1,2020
"Кредиторська заборгованість","2018-08-25","1706764,8",,,"ТОВ ""ІНТЕР РЕКЛАМА ЦЕНТР""","30524103","Київ, вулиця Бульварно-Кудрявська, 22А","1706764,8","юридична особа","Опозиційний блок","Центральний офіс",37120464,"Україна",1,2020
"Кредиторська заборгованість","2018-12-17",3000,,,"ТОВ ""БізнесХолл""","34033604","Миколаївська область, Миколаїв, вулиця Декабристів, 41, 23А",3000,"юридична особа","Опозиційний блок","Миколаївська обласна організація",39751851,"Миколаївська область",1,2020
"Кредиторська заборгованість ","2018-04-09","2082412,8",,,"ТОВ ""ІНТЕР РЕКЛАМА ЦЕНТР""","30524103","Київ, вулиця Бульварно-Кудрявська, 22А","2082412,8","юридична особа","Опозиційний блок","Центральний офіс",37120464,"Україна",2,2020
"Кредиторська заборгованість ","2018-05-08",1286766,,,"ТОВ ""ІНТЕР РЕКЛАМА ЦЕНТР""","30524103","Київ, вулиця Бульварно-Кудрявська, 22А",1286766,"юридична особа","Опозиційний блок","Центральний офіс",37120464,"Україна",2,2020
"Кредиторська заборгованість ","2018-07-15",4064580,,,"ТОВ ""ІНТЕР РЕКЛАМА ЦЕНТР""","30524103","Київ, вулиця Бульварно-Кудрявська, 22А",4064580,"юридична особа","Опозиційний блок","Центральний офіс",37120464,"Україна",2,2020
"Кредиторська заборгованість ","2018-08-25","1706764,8",,,"ТОВ ""ІНТЕР РЕКЛАМА ЦЕНТР""","30524103","Київ, вулиця Бульварно-Кудрявська, 22А","1706764,8","юридична особа","Опозиційний блок","Центральний офіс",37120464,"Україна",2,2020
"Кредиторська заборгованість","2018-04-09","2082412,8",,,"ТОВ ""ІНТЕР РЕКЛАМА ЦЕНТР""","30524103","м. Київ, вул. ВОРОВСЬКОГО, буд. 22, ЛІТЕРА А","2082412,8","юридична особа","Опозиційний блок","Центральний офіс",37120464,"Україна",3,2020
"Кредиторська заборгованість","2018-05-08","1286766,0",,,"ТОВ ""ІНТЕР РЕКЛАМА ЦЕНТР""","30524103","м. Київ, вул. ВОРОВСЬКОГО, буд. 22, ЛІТЕРА А","1286766,0","юридична особа","Опозиційний блок","Центральний офіс",37120464,"Україна",3,2020
"Кредиторська заборгованість","2018-07-15","4064580,0",,,"ТОВ ""ІНТЕР РЕКЛАМА ЦЕНТР""","30524103","м. Київ, вул. ВОРОВСЬКОГО, буд. 22, ЛІТЕРА А","4064580,0","юридична особа","Опозиційний блок","Центральний офіс",37120464,"Україна",3,2020
"Кредиторська заборгованість","2018-08-25","1706764,8",,,"ТОВ ""ІНТЕР РЕКЛАМА ЦЕНТР""","30524103","м. Київ, вул. ВОРОВСЬКОГО, буд. 22, ЛІТЕРА А","1706764,8","юридична особа","Опозиційний блок","Центральний офіс",37120464,"Україна",3,2020
"Кредиторська заборговність","2019-12-31","10682,03",,,"ПАТ ""Запоріжсталь""","00191230","м. Запоріжжя, вул. Південне шосе, буд. 72","10682,03","юридична особа","Опозиційний блок","Запорізька обласна організація",37526809,"Запорізька область",3,2020
"Кредиторська заборговність","2020-01-31","2487,08",,,"ПАТ ""Запоріжсталь""","00191230","м. Запоріжжя, вул. Південне шосе, буд. 72","2487,08","юридична особа","Опозиційний блок","Запорізька обласна організація",37526809,"Запорізька область",3,2020
"Кредиторська заборговність","2020-01-31","11869,51",,,"ПАТ ""Запоріжсталь""","00191230","м. Запоріжжя, вул. Південне шосе, буд. 72","11869,51","юридична особа","Опозиційний блок","Запорізька обласна організація",37526809,"Запорізька область",3,2020
"Кредиторська заборговність","2020-02-29","2492,06",,,"ПАТ ""Запоріжсталь""","00191230","м. Запоріжжя, вул. Південне шосе, буд. 72","2492,06","юридична особа","Опозиційний блок","Запорізька обласна організація",37526809,"Запорізька область",3,2020
"Кредиторська заборговність","2020-02-29","10247,98",,,"ПАТ ""Запоріжсталь""","00191230","м. Запоріжжя, вул. Південне шосе, буд. 72","10247,98","юридична особа","Опозиційний блок","Запорізька обласна організація",37526809,"Запорізька область",3,2020
"Кредиторська заборговність","2020-03-31","2484,58",,,"ПАТ ""Запоріжсталь""","00191230","м. Запоріжжя, вул. Південне шосе, буд. 72","2484,58","юридична особа","Опозиційний блок","Запорізька обласна організація",37526809,"Запорізька область",3,2020
"Кредиторська заборговність","2020-03-31","10109,59",,,"ПАТ ""Запоріжсталь""","00191230","м. Запоріжжя, вул. Південне шосе, буд. 72","10109,59","юридична особа","Опозиційний блок","Запорізька обласна організація",37526809,"Запорізька область",3,2020
"Кредиторська заборговність","2020-04-30","2504,46",,,"ПАТ ""Запоріжсталь""","00191230","м. Запоріжжя, вул. Південне шосе, буд. 72","2504,46","юридична особа","Опозиційний блок","Запорізька обласна організація",37526809,"Запорізька область",3,2020
"Кредиторська заборговність","2020-04-30","4883,94",,,"ПАТ ""Запоріжсталь""","00191230","м. Запоріжжя, вул. Південне шосе, буд. 72","4883,94","юридична особа","Опозиційний блок","Запорізька обласна організація",37526809,"Запорізька область",3,2020
"Кредиторська заборговність","2020-05-31","2524,49",,,"ПАТ ""Запоріжсталь""","00191230","м. Запоріжжя, вул. Південне шосе, буд. 72","2524,49","юридична особа","Опозиційний блок","Запорізька обласна організація",37526809,"Запорізька область",3,2020
"Кредиторська заборговність","2020-05-31","2740,28",,,"ПАТ ""Запоріжсталь""","00191230","м. Запоріжжя, вул. Південне шосе, буд. 72","2740,28","юридична особа","Опозиційний блок","Запорізька обласна організація",37526809,"Запорізька область",3,2020
"Кредиторська заборговність","2020-06-30","2532,7",,,"ПАТ ""Запоріжсталь""","00191230","м. Запоріжжя, вул. Південне шосе, буд. 72","2532,7","юридична особа","Опозиційний блок","Запорізька обласна організація",37526809,"Запорізька область",3,2020
"Кредиторська заборговність","2020-07-31","2537,15",,,"ПАТ ""Запоріжсталь""","00191230","м. Запоріжжя, вул. Південне шосе, буд. 72","2537,15","юридична особа","Опозиційний блок","Запорізька обласна організація",37526809,"Запорізька область",3,2020
"Кредиторська заборговність","2020-07-31","4675,87",,,"ПАТ ""Запоріжсталь""","00191230","м. Запоріжжя, вул. Південне шосе, буд. 72","4675,87","юридична особа","Опозиційний блок","Запорізька обласна організація",37526809,"Запорізька область",3,2020
"Кредиторська заборговність","2020-08-31","2521,92",,,"ПАТ ""Запоріжсталь""","00191230","м. Запоріжжя, вул. Південне шосе, буд. 72","2521,92","юридична особа","Опозиційний блок","Запорізька обласна організація",37526809,"Запорізька область",3,2020
"Кредиторська заборговність","2020-08-31","5244,89",,,"ПАТ ""Запоріжсталь""","00191230","м. Запоріжжя, вул. Південне шосе, буд. 72","5244,89","юридична особа","Опозиційний блок","Запорізька обласна організація",37526809,"Запорізька область",3,2020
"Кредиторська заборгованість за оренду приміщення","2018-12-17","3000,0",,"0,0","ТОВ "" Бізнес-Холл""","34033604","4020, Миколаївська обл., м. Миколаїв, Заводський р-н, вул. Декабристів, буд. 41/23А","3000,0","юридична особа","Опозиційний блок","Миколаївська обласна організація",39751851,"Миколаївська область",3,2020
"Кредиторська заборгованість","2018-04-09","2082412,8",,,"ТОВ ""ІНТЕР РЕКЛАМА ЦЕНТР""","30524103","м. Київ, вул. ВОРОВСЬКОГО, буд. 22, ЛІТЕРА А","2082412,8","юридична особа","Опозиційний блок","Центральний офіс",37120464,"Україна",4,2020
