Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA973052990000026004010406228,11.45,БАТЬКІВЩИНА,Криворізька міська організація,25840741,Дніпропетровська обл.,2021-03-31,1,2021
"Акціонерне товариство комерційний банк ""Приватбанк""",Поточний рахунок,UA433052990000026000050269195,0.00,БАТЬКІВЩИНА,Царичанська районна організація Дніпропетровської області,25841670,Дніпропетровська обл.,2021-03-31,1,2021
"ПАТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA083366770000026007052532962,882.88,БАТЬКІВЩИНА,Снятинська районна організація,33820039,Івано-Франківська обл.,2021-03-31,1,2021
"Філія-ГУ АТ ""Ощадбанк""ТВБВ №10026/0649",Поточний рахунок,UA213226690000026008300277970,199.00,БАТЬКІВЩИНА,Таращанська районна організація,25822878,Київська обл.,2021-03-31,1,2021
"АТ КБ ""Приватбанк""",Поточний рахунок,UA143052990000026008040103166,43.70,БАТЬКІВЩИНА,Рокитнянська районна організація,26078651,Київська обл.,2021-03-31,1,2021
"Акціонерне товариство комерційний банк ""Приватбанк""",Поточний рахунок,UA393052990000026007050526079,0.00,БАТЬКІВЩИНА,Тернівська міська організація в Дніпропетровській області,25947095,Дніпропетровська обл.,2021-03-31,1,2021
"Акціонерне товариство комерційний банк ""Приватбанк""",Поточний рахунок,UA563052990000026002050545828,0.00,БАТЬКІВЩИНА,Марганецька міська організація Дніпропетровської області,25841350,Дніпропетровська обл.,2021-03-31,1,2021
"Акціонерне товариство комерційний банк ""Приватбанк""",Поточний рахунок,UA573052990000026007050277920,0.00,БАТЬКІВЩИНА,НІКОПОЛЬСЬКА МІСЬКА організація,25841367,Дніпропетровська обл.,2021-03-31,1,2021
"АТ КБ ""Приватбанк""",Поточний рахунок,UA073375460000026004055018872,0.00,БАТЬКІВЩИНА,Буринська районна організація,24015940,Сумська обл.,2021-03-31,1,2021
"АТ КБ ""Приватбанк""",Поточний рахунок,UA933375460000026002055023018,0.00,БАТЬКІВЩИНА,РОМЕНСЬКА МІСЬКА організація,24015986,Сумська обл.,2021-03-31,1,2021
"АТ КБ ""Приватбанк""",Поточний рахунок,UA823375460000026004055019365,0.00,БАТЬКІВЩИНА,ГЛУХІВСЬКА МІСЬКА організація,24015957,Сумська обл.,2021-03-31,1,2021
"АТ КБ ""Приватбанк""",Поточний рахунок,UA713375460000026004055021988,0.00,БАТЬКІВЩИНА,Кролевецька районна організація,24016052,Сумська обл.,2021-03-31,1,2021
"АТ КБ ""Приватбанк""",Поточний рахунок,UA493375460000026004055019183,0.00,БАТЬКІВЩИНА,ЛЕБЕДИНСЬКА МІСЬКА організація СУМСЬКОЇ ОБЛАСТІ,37261497,Сумська обл.,2021-03-31,1,2021
"АТ КБ ""Приватбанк""",Поточний рахунок,UA923375460000026004055015693,0.00,БАТЬКІВЩИНА,ОХТИРСЬКА МІСЬКА організація,24016891,Сумська обл.,2021-03-31,1,2021
"АТ КБ ""Приватбанк""",Поточний рахунок,UA173375460000026000055023775,0.00,БАТЬКІВЩИНА,ШОСТКИНСЬКА МІСЬКА організація,24015880,Сумська обл.,2021-03-31,1,2021
"АТ КБ ""Приватбанк""",Поточний рахунок,UA813375460000026003055017283,0.00,БАТЬКІВЩИНА,ЛЕБЕДИНСЬКА РАЙОННА організація,37345571,Сумська обл.,2021-03-31,1,2021
"АТ КБ ""Приватбанк""",Поточний рахунок,UA903375460000026002055020259,0.00,БАТЬКІВЩИНА,КРАСНОПІЛЬСЬКА РАЙОННА організація СУМСЬКОЇ ОБЛАСТІ,24015897,Сумська обл.,2021-03-31,1,2021
"АТ КБ ""Приватбанк""",Поточний рахунок,UA593375460000026009055028339,0.00,БАТЬКІВЩИНА,Конотопська районна організація,40782411,Сумська обл.,2021-03-31,1,2021
