Вид фінансових зобовʼязань,Дата виникнення,Сума (вартість) зобовʼязання на момент виникнення,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Сума (вартість) на кінець звітного періоду грн,Тип особи,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
Оплата коміссійної винагороди РКО відповідно до п. 5.5. тарифного плану,29.01.2021,25,"АТ ""БТА Банк""",14359845,"м. Київ, вул. Щербаківського, буд. 35",0,Юридична особа,ГРОМАДА І ЗАКОН,Центральний офіс,39969328,Київ,4,2021
Оплата коміссійної винагороди РКО відповідно до п. 5.5. тарифного плану,26.02.2021,25,"АТ ""БТА Банк""",14359845,"м. Київ, вул. Щербаківського, буд. 35",0,Юридична особа,ГРОМАДА І ЗАКОН,Центральний офіс,39969328,Київ,4,2021
Оплата коміссійної винагороди РКО відповідно до п. 5.5. тарифного плану,31.03.2021,25,"АТ ""БТА Банк""",14359845,"м. Київ, вул. Щербаківського, буд. 35",0,Юридична особа,ГРОМАДА І ЗАКОН,Центральний офіс,39969328,Київ,4,2021
Оплата коміссійної винагороди РКО відповідно до п. 5.5. тарифного плану,30.04.2021,25,"АТ ""БТА Банк""",14359845,"м. Київ, вул. Щербаківського, буд. 35",0,Юридична особа,ГРОМАДА І ЗАКОН,Центральний офіс,39969328,Київ,4,2021
Оплата коміссійної винагороди РКО відповідно до п. 5.5. тарифного плану,31.05.2021,25,"АТ ""БТА Банк""",14359845,"м. Київ, вул. Щербаківського, буд. 35",0,Юридична особа,ГРОМАДА І ЗАКОН,Центральний офіс,39969328,Київ,4,2021
Оплата коміссійної винагороди РКО відповідно до п. 5.5. тарифного плану,30.06.2021,25,"АТ ""БТА Банк""",14359845,"м. Київ, вул. Щербаківського, буд. 35",0,Юридична особа,ГРОМАДА І ЗАКОН,Центральний офіс,39969328,Київ,4,2021
Оплата коміссійної винагороди РКО відповідно до п. 5.5. тарифного плану,30.07.2021,25,"АТ ""БТА Банк""",14359845,"м. Київ, вул. Щербаківського, буд. 35",0,Юридична особа,ГРОМАДА І ЗАКОН,Центральний офіс,39969328,Київ,4,2021
Оплата коміссійної винагороди РКО відповідно до п. 5.5. тарифного плану,31.08.2021,25,"АТ ""БТА Банк""",14359845,"м. Київ, вул. Щербаківського, буд. 35",0,Юридична особа,ГРОМАДА І ЗАКОН,Центральний офіс,39969328,Київ,4,2021
Оплата коміссійної винагороди РКО відповідно до п. 5.5. тарифного плану,30.09.2021,25,"АТ ""БТА Банк""",14359845,"м. Київ, вул. Щербаківського, буд. 35",0,Юридична особа,ГРОМАДА І ЗАКОН,Центральний офіс,39969328,Київ,4,2021
Оплата коміссійної винагороди РКО відповідно до п. 5.5. тарифного плану,29.10.2021,25,"АТ ""БТА Банк""",14359845,"м. Київ, вул. Щербаківського, буд. 35",0,Юридична особа,ГРОМАДА І ЗАКОН,Центральний офіс,39969328,Київ,4,2021
Оплата коміссійної винагороди РКО відповідно до п. 5.5. тарифного плану,30.11.2021,25,"АТ ""БТА Банк""",14359845,"м. Київ, вул. Щербаківського, буд. 35",0,Юридична особа,ГРОМАДА І ЗАКОН,Центральний офіс,39969328,Київ,4,2021
Оплата коміссійної винагороди РКО відповідно до п. 5.5. тарифного плану,30.12.2021,25,"АТ ""БТА Банк""",14359845,"м. Київ, вул. Щербаківського, буд. 35",0,Юридична особа,ГРОМАДА І ЗАКОН,Центральний офіс,39969328,Київ,4,2021
