Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"ПАТ ""МТБ БАНК""",Поточний рахунок,UA663281680000000026001178761,226014.93,ДОВІРЯЙ ДІЛАМ,Центральний офіс,21676138,Україна,2021-03-31,1,2021
"ПАТ ""МТБ БАНК""",Поточний рахунок,UA373281680000000026002178771,990527.15,ДОВІРЯЙ ДІЛАМ,в Одеській області організація,26133326,Одеська обл.,2021-12-31,4,2021
"ПАТ ""МТБ БАНК""",Поточний рахунок,UA083281680000000026003178781,153059.97,ДОВІРЯЙ ДІЛАМ,Одеська міська організація,39938022,Одеська обл.,2021-12-31,4,2021
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA733287040000026006054322866,0.00,ДОВІРЯЙ ДІЛАМ,БІЛЯЇВСЬКА МІСЬКА організація В ОДЕСЬКІЙ ОБЛАСТІ,39965695,Одеська обл.,2021-12-31,4,2021
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA943515330000026008052108205,366.97,ДОВІРЯЙ ДІЛАМ,в Харківській області організація,43031979,Харківська обл.,2021-12-31,4,2021
"АТ КБ ""ПРИВАТБАНК"" Центральне відділення Харківського ГРУ",Поточний рахунок,UA923515330000026008052150242,180.00,ДОВІРЯЙ ДІЛАМ,Харківська міська організація,43317395,Харківська обл.,2021-12-31,4,2021
"ПАТ ""МТБ БАНК""",Поточний рахунок,UA663281680000000026001178761,4456.30,ДОВІРЯЙ ДІЛАМ,Центральний офіс,21676138,Україна,2021-12-31,4,2021
ПАТ 'МТБ БАНК'(м. Чорноморськ),Поточний рахунок,UA373281680000000026002178771,990527.15,ДОВІРЯЙ ДІЛАМ,в Одеській області організація,26133326,Одеська обл.,2021-09-30,3,2021
ПАТ 'МТБ БАНК'(м. Чорноморськ),Поточний рахунок,UA083281680000000026003178781,154943.50,ДОВІРЯЙ ДІЛАМ,Одеська міська організація,39938022,Одеська обл.,2021-09-30,3,2021
"АТ КБ ""ПРИВАТБАНК",Поточний рахунок,UA733287040000026006054322866,0.00,ДОВІРЯЙ ДІЛАМ,БІЛЯЇВСЬКА МІСЬКА організація В ОДЕСЬКІЙ ОБЛАСТІ,39965695,Одеська обл.,2021-09-30,3,2021
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA943515330000026008052108205,241.97,ДОВІРЯЙ ДІЛАМ,в Харківській області організація,43031979,Харківська обл.,2021-09-30,3,2021
"АТ КБ ""ПРИВАТБАНК"" Центральне відділення Харківського ГРУ",Поточний рахунок,UA923515330000026008052150242,55.00,ДОВІРЯЙ ДІЛАМ,Харківська міська організація,43317395,Харківська обл.,2021-09-30,3,2021
"ПАТ ""МТБ БАНК""",Поточний рахунок,UA663281680000000026001178761,72181.09,ДОВІРЯЙ ДІЛАМ,Центральний офіс,21676138,Україна,2021-09-30,3,2021
ПАТ 'МТБ БАНК'(м. Чорноморськ),Поточний рахунок,UA373281680000000026002178771,990627.15,ДОВІРЯЙ ДІЛАМ,в Одеській області організація,26133326,Одеська обл.,2021-06-30,2,2021
"ПАТ ""МТБ БАНК"" м. Чорноморськ ",Поточний рахунок,UA083281680000000026003178781,155702.50,ДОВІРЯЙ ДІЛАМ,Одеська міська організація,39938022,Одеська обл.,2021-06-30,2,2021
"АТ КБ ""ПРИВАТБАНК"" Центральне відділення Харківського ГРУ",Поточний рахунок,UA923515330000026008052150242,180.00,ДОВІРЯЙ ДІЛАМ,Харківська міська організація,43317395,Харківська обл.,2021-06-30,2,2021
"ПАТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA943515330000026008052108205,186.97,ДОВІРЯЙ ДІЛАМ,в Харківській області організація,43031979,Харківська обл.,2021-06-30,2,2021
"АТ КБ ""Приватбанк""",Поточний рахунок,UA733287040000026006054322866,0.00,ДОВІРЯЙ ДІЛАМ,БІЛЯЇВСЬКА МІСЬКА організація В ОДЕСЬКІЙ ОБЛАСТІ,39965695,Одеська обл.,2021-06-30,2,2021
ПАТ 'МТБ БАНК'(м. Чорноморськ),Поточний рахунок,UA663281680000000026001178761,171445.72,ДОВІРЯЙ ДІЛАМ,Центральний офіс,21676138,Україна,2021-06-30,2,2021
