Вид фінансових зобовʼязань,Дата виникнення,Сума (вартість) зобовʼязання на момент виникнення,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Сума (вартість) на кінець звітного періоду грн,Тип особи,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
Виконавче впровадження,30.08.2016,20432.2,"ОК ВЕП ""ДЕРЖПРОМ""",04014097,"Украина, Харкивська обл., мисто Харкив, МАЙДАН СВОБОДИ, буд. 5",20432.2,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,Харківська обласна організація Аграрної партії України,34951845,Харківська область,4,2022
Виконавче впровадження,30.08.2016,56049.73,"ОК ВЕП ""ДЕРЖПРОМ""",04014097,"Украина, Харкивська обл., мисто Харкив, МАЙДАН СВОБОДИ, буд. 5",56049.73,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,Харківська обласна організація Аграрної партії України,34951845,Харківська область,4,2022
оренда приміщення,28.02.2022,200.0,"ТОВ ""Облагропостач""",30485866,"Полтавська обл., м. Полтава, ВУЛИЦЯ СОБОРНОСТІ, буд. 66",200.0,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,Київська районна у м. Полтаві партійна організація Аграрної партії України,34825745,Полтавська область,4,2022
компенсація комунальних витрат,28.02.2022,38.33,"ТОВ ""Облагропостач""",30485866,"Полтавська обл., м. Полтава, ВУЛИЦЯ СОБОРНОСТІ, буд. 66",38.33,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,Київська районна у м. Полтаві партійна організація Аграрної партії України,34825745,Полтавська область,4,2022
оренда приміщення,31.03.2022,100.0,"ТОВ ""Облагропостач""",30485866,"Полтавська обл., м. Полтава, ВУЛИЦЯ СОБОРНОСТІ, буд. 66",100.0,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,Київська районна у м. Полтаві партійна організація Аграрної партії України,34825745,Полтавська область,4,2022
компенсація комунальних витрат,31.03.2022,35.02,"ТОВ ""Облагропостач""",30485866,"Полтавська обл., м. Полтава, ВУЛИЦЯ СОБОРНОСТІ, буд. 66",35.02,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,Київська районна у м. Полтаві партійна організація Аграрної партії України,34825745,Полтавська область,4,2022
оренда приміщення,30.04.2022,100.0,"ТОВ ""Облагропостач""",30485866,"Полтавська обл., м. Полтава, ВУЛИЦЯ СОБОРНОСТІ, буд. 66",100.0,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,Київська районна у м. Полтаві партійна організація Аграрної партії України,34825745,Полтавська область,4,2022
оренда приміщення,31.05.2022,140.0,"ТОВ ""Облагропостач""",30485866,"Полтавська обл., м. Полтава, ВУЛИЦЯ СОБОРНОСТІ, буд. 66",140.0,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,Київська районна у м. Полтаві партійна організація Аграрної партії України,34825745,Полтавська область,4,2022
оренда приміщення,30.06.2022,140.0,"ТОВ ""Облагропостач""",30485866,"Полтавська обл., м. Полтава, ВУЛИЦЯ СОБОРНОСТІ, буд. 66",140.0,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,Київська районна у м. Полтаві партійна організація Аграрної партії України,34825745,Полтавська область,4,2022
оренда приміщення,31.07.2022,160.0,"ТОВ ""Облагропостач""",30485866,"Полтавська обл., м. Полтава, ВУЛИЦЯ СОБОРНОСТІ, буд. 66",160.0,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,Київська районна у м. Полтаві партійна організація Аграрної партії України,34825745,Полтавська область,4,2022
оренда приміщення,31.08.2022,200.0,"ТОВ ""Облагропостач""",30485866,"Полтавська обл., м. Полтава, ВУЛИЦЯ СОБОРНОСТІ, буд. 66",200.0,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,Київська районна у м. Полтаві партійна організація Аграрної партії України,34825745,Полтавська область,4,2022
оренда приміщення,30.09.2022,200.0,"ТОВ ""Облагропостач""",30485866,"Полтавська обл., м. Полтава, ВУЛИЦЯ СОБОРНОСТІ, буд. 66",200.0,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,Київська районна у м. Полтаві партійна організація Аграрної партії України,34825745,Полтавська область,4,2022
