Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"АТ ""Державний ощадний банк України""",Поточний рахунок,UA633046650000026008300741004,0.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ЛУГАНСЬКА ОБЛАСНА організація,37178520,Луганська обл.,2022-12-31,4,2022
"АТ ""Ощадбанк""",Поточний рахунок,UA133264610000026000300805234,0.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,МИКОЛАЇВСЬКА ОБЛАСНА організація,40894701,Миколаївська обл.,2022-12-31,4,2022
"АТ ""Ощадбанк""",Поточний рахунок,UA593518230000026004300641612,2711.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ХАРКІВСЬКА ОБЛАСНА організація,37188240,Харківська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA823366770000026000052516833,0.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ІВАНО-ФРАНКІВСЬКА ОБЛАСНА організація,36733960,Івано-Франківська обл.,2022-12-31,4,2022
"АТ ""ОЩАДБАНК""",Поточний рахунок,UA183563340000026005300480754,0.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ЧЕРНІВЕЦЬКА ОБЛАСНА організація,37273083,Чернівецька обл.,2022-12-31,4,2022
"АТ ""Кредобанк""",Поточний рахунок,UA593253650000002600201813980,0.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ЛЬВІВСЬКА МІСЬКА організація,37277947,Львівська обл.,2022-12-31,4,2022
"АТ ""Райффайзенбанк""",Поточний рахунок,UA313808050000000026005314012,0.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ЛЬВІВСЬКА ОБЛАСНА організація,37277596,Львівська обл.,2022-12-31,4,2022
"АТ ""Ощадбанк""",Поточний рахунок,UA903234750000026007300684913,1238.49,ГРОМАДЯНСЬКА ПОЗИЦІЯ,КІРОВОГРАДСЬКА ОБЛАСНА організація,37297586,Кіровоградська обл.,2022-12-31,4,2022
"АТ ""ПРИВАТБАНК""",Поточний рахунок,UA953052990000026001020114417,520.21,ГРОМАДЯНСЬКА ПОЗИЦІЯ,КИЇВСЬКА ОБЛАСНА організація,37236193,Київська обл.,2022-12-31,4,2022
"АТ ""ПРИВАТБАНК""",Поточний рахунок,UA363154050000026001052317039,0.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ХМЕЛЬНИЦЬКА ОБЛАСНА організація,37263887,Хмельницька обл.,2022-12-31,4,2022
"АТ ""ПРИВАТБАНК""",Поточний рахунок,UA353052990000026004026000094,87.22,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ХМЕЛЬНИЦЬКА ОБЛАСНА організація,37263887,Хмельницька обл.,2022-12-31,4,2022
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA193052990000026009006811866,30713.71,ГРОМАДЯНСЬКА ПОЗИЦІЯ,РЕГІОНАЛЬНА КИЇВСЬКА МІСЬКА організація,37615584,м.Київ,2022-12-31,4,2022
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA803052990000026005050226940,0.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ДНІПРОПЕТРОВСЬКА ОБЛАСНА організація,37006888,Дніпропетровська обл.,2022-12-31,4,2022
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA593052990000026008023307097,23.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ТЕРНОПІЛЬСЬКА ОБЛАСНА організація,37016189,Тернопільська обл.,2022-12-31,4,2022
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA263387830000026004055133107,0.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ТЕРНОПІЛЬСЬКА ОБЛАСНА організація,37016189,Тернопільська обл.,2022-12-31,4,2022
АТ ОЩАДБАНК,Поточний рахунок,UA303385450000026002300597395,1257.30,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ТЕРНОПІЛЬСЬКА ОБЛАСНА організація,37016189,Тернопільська обл.,2022-12-31,4,2022
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA523052990000026001021614035,790.19,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ЧЕРКАСЬКА ОБЛАСНА організація,37239608,Черкаська обл.,2022-12-31,4,2022
"АТ ""Укрексімбанк""",Поточний рахунок,UA663223130000026009000000569,10441.32,ГРОМАДЯНСЬКА ПОЗИЦІЯ,Центральний офіс,33492420,Україна,2022-12-31,4,2022
