Вид фінансових зобовʼязань,Дата виникнення,Сума (вартість) зобовʼязання на момент виникнення,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Сума (вартість) на кінець звітного періоду грн,Тип особи,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
комісія банку за користування пакетом банківських послуг,28.01.2022,150.0,"Акціонерне товариство ""Райффайзен Банк Аваль""",14305909,"м. Київ, вул. Генерала Алмазова, буд. 4А",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Хмельницька обласна організація,39948512,Хмельницька область,4,2022
комісія банку за користування пакетом банківських послуг,25.02.2022,150.0,"Акціонерне товариство ""Райффайзен Банк Аваль""",14305909,"м. Київ, вул. Генерала Алмазова, буд. 4А",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Хмельницька обласна організація,39948512,Хмельницька область,4,2022
комісія банку за користування пакетом банківських послуг,30.05.2022,150.0,"Акціонерне товариство ""Райффайзен Банк Аваль""",14305909,"м. Київ, вул. Генерала Алмазова, буд. 4А",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Хмельницька обласна організація,39948512,Хмельницька область,4,2022
комісія банку за користування пакетом банківських послуг,29.06.2022,150.0,"Акціонерне товариство ""Райффайзен Банк Аваль""",14305909,"м. Київ, вул. Генерала Алмазова, буд. 4А",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Хмельницька обласна організація,39948512,Хмельницька область,4,2022
комісія банку за користування пакетом банківських послуг,28.07.2022,150.0,"Акціонерне товариство ""Райффайзен Банк Аваль""",14305909,"м. Київ, вул. Генерала Алмазова, буд. 4А",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Хмельницька обласна організація,39948512,Хмельницька область,4,2022
комісія банку за користування пакетом банківських послуг,30.08.2022,150.0,"Акціонерне товариство ""Райффайзен Банк Аваль""",14305909,"м. Київ, вул. Генерала Алмазова, буд. 4А",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Хмельницька обласна організація,39948512,Хмельницька область,4,2022
комісія банку за користування пакетом банківських послуг,29.09.2022,150.0,"Акціонерне товариство ""Райффайзен Банк Аваль""",14305909,"м. Київ, вул. Генерала Алмазова, буд. 4А",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Хмельницька обласна організація,39948512,Хмельницька область,4,2022
комісія банку за користування пакетом банківських послуг,28.10.2022,150.0,"Акціонерне товариство ""Райффайзен Банк Аваль""",14305909,"м. Київ, вул. Генерала Алмазова, буд. 4А",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Хмельницька обласна організація,39948512,Хмельницька область,4,2022
комісія банку за користування пакетом банківських послуг,29.11.2022,150.0,"Акціонерне товариство ""Райффайзен Банк Аваль""",14305909,"м. Київ, вул. Генерала Алмазова, буд. 4А",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Хмельницька обласна організація,39948512,Хмельницька область,4,2022
комісія банку за користування пакетом банківських послуг,29.12.2022,150.0,"Акціонерне товариство ""Райффайзен Банк Аваль""",14305909,"м. Київ, вул. Генерала Алмазова, буд. 4А",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Хмельницька обласна організація,39948512,Хмельницька область,4,2022
