Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"АТ КБ ""ПРИВАТБАНК"", ХМЕЛЬНИЦЬКЕ ВIДДIЛЕННЯ ""ЦЕНТРАЛЬНЕ"" ХМЕЛЬНИЦЬКОЇ ФIЛIЇ",Поточний рахунок,UA493154050000026005052340046,154559.79,КОМАНДА СИМЧИШИНА,ХМЕЛЬНИЦЬКА ОБЛАСНА організація,43752458,Хмельницька обл.,2022-03-31,1,2022
"АТ КБ ""ПРИВАТБАНК"", ХМЕЛЬНИЦЬКЕ ВIДДIЛЕННЯ ""ЦЕНТРАЛЬНЕ"" ХМЕЛЬНИЦЬКОЇ ФIЛIЇ",Поточний рахунок,UA833154050000026428052300414,0.00,КОМАНДА СИМЧИШИНА,ХМЕЛЬНИЦЬКА ОБЛАСНА організація,43752458,Хмельницька обл.,2022-03-31,1,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA473154050000026008052339883,69.00,КОМАНДА СИМЧИШИНА,Центральний офіс,40115365,Україна,2022-03-31,1,2022
"АТ КБ ""ПРИВАТБАНК"", ХМЕЛЬНИЦЬКЕ ВIДДIЛЕННЯ ""ЦЕНТРАЛЬНЕ"" ХМЕЛЬНИЦЬКОЇ ФIЛIЇ",Поточний рахунок,UA493154050000026005052340046,154559.79,КОМАНДА СИМЧИШИНА,ХМЕЛЬНИЦЬКА ОБЛАСНА організація,43752458,Хмельницька обл.,2022-06-30,2,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA833154050000026428052300414,0.00,КОМАНДА СИМЧИШИНА,ХМЕЛЬНИЦЬКА ОБЛАСНА організація,43752458,Хмельницька обл.,2022-06-30,2,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA473154050000026008052339883,69.00,КОМАНДА СИМЧИШИНА,Центральний офіс,40115365,Україна,2022-06-30,2,2022
"АТ КБ ""ПРИВАТБАНК"", ХМЕЛЬНИЦЬКЕ ВIДДIЛЕННЯ ""ЦЕНТРАЛЬНЕ"" ХМЕЛЬНИЦЬКОЇ ФIЛIЇ",Поточний рахунок,UA493154050000026005052340046,0.00,КОМАНДА СИМЧИШИНА,ХМЕЛЬНИЦЬКА ОБЛАСНА організація,43752458,Хмельницька обл.,2022-09-30,3,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA833154050000026428052300414,0.00,КОМАНДА СИМЧИШИНА,ХМЕЛЬНИЦЬКА ОБЛАСНА організація,43752458,Хмельницька обл.,2022-09-30,3,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA473154050000026008052339883,0.00,КОМАНДА СИМЧИШИНА,Центральний офіс,40115365,Україна,2022-09-30,3,2022
"АТ КБ ""ПРИВАТБАНК"", ХМЕЛЬНИЦЬКЕ ВIДДIЛЕННЯ ""ЦЕНТРАЛЬНЕ"" ХМЕЛЬНИЦЬКОЇ ФIЛIЇ",Поточний рахунок,UA493154050000026005052340046,0.00,КОМАНДА СИМЧИШИНА,ХМЕЛЬНИЦЬКА ОБЛАСНА організація,43752458,Хмельницька обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA833154050000026428052300414,0.00,КОМАНДА СИМЧИШИНА,ХМЕЛЬНИЦЬКА ОБЛАСНА організація,43752458,Хмельницька обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA473154050000026008052339883,0.00,КОМАНДА СИМЧИШИНА,Центральний офіс,40115365,Україна,2022-12-31,4,2022
