Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"АБ ""ПІВДЕННИЙ""",Поточний рахунок,UA413282090000026008000012662,6640.52,ПРОПОЗИЦІЯ,ПОЛТАВСЬКА ОБЛАСНА організація,43670475,Полтавська обл.,2022-03-31,1,2022
ПАТ АТ УКРГАЗБАНК,Поточний рахунок,UA653204780000026009924893608,19998.34,ПРОПОЗИЦІЯ,ЖИТОМИРСЬКА ОБЛАСНА організація,43638384,Житомирська обл.,2022-03-31,1,2022
АБ ПІВДЕННИЙ,Поточний рахунок,UA523282090000026004000012503,0.00,ПРОПОЗИЦІЯ,КИЇВСЬКА ОБЛАСНА організація,43734685,Київська обл.,2022-03-31,1,2022
АКЦІОНЕРНИЙ БАНК ПІВДЕННИЙ,Поточний рахунок,UA373282090000026001000011808,0.00,ПРОПОЗИЦІЯ,ДНІПРОПЕТРОВСЬКА ОБЛАСНА організація,43657611,Дніпропетровська обл.,2022-03-31,1,2022
АБ ПІВДЕННИЙ,Поточний рахунок,UA283282090000026005000012513,0.00,ПРОПОЗИЦІЯ,ЧЕРКАСЬКА ОБЛАСНА організація,43635996,Черкаська обл.,2022-03-31,1,2022
АБ ПІВДЕННИЙ,Поточний рахунок,UA463282090000026003000012548,0.00,ПРОПОЗИЦІЯ,ОДЕСЬКА ОБЛАСНА організація,43654909,Одеська обл.,2022-03-31,1,2022
АБ ПІВДЕННИЙ,Поточний рахунок,UA343282090000026004000012536,0.00,ПРОПОЗИЦІЯ,ХЕРСОНСЬКА ОБЛАСНА організація,43644377,Херсонська обл.,2022-03-31,1,2022
АБ ПІВДЕННИЙ,Поточний рахунок,UA283282090000026004000012547,0.00,ПРОПОЗИЦІЯ,КРИМСЬКА РЕСПУБЛІКАНСЬКА організація,43644749,Херсонська обл.,2022-03-31,1,2022
АБ ПІВДЕННИЙ,Поточний рахунок,UA653282090000026007000012555,0.00,ПРОПОЗИЦІЯ,КИЇВСЬКА МІСЬКА організація,43654846,м.Київ,2022-03-31,1,2022
АБ ПІВДЕННИЙ,Поточний рахунок,UA153282090000026000000012529,0.00,ПРОПОЗИЦІЯ,ЗАПОРІЗЬКА ОБЛАСНА організація,43725513,Запорізька обл.,2022-03-31,1,2022
АБ ПІВДЕННИЙ,Поточний рахунок,UA103282090000026005000012546,0.00,ПРОПОЗИЦІЯ,ЗАКАРПАТСЬКА ОБЛАСНА організація,43661848,Закарпатська обл.,2022-03-31,1,2022
