Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"АТ КБ ""Приватбанк""",Поточний рахунок,UA883052990000026007021605617,5608.49,СИЛА І ЧЕСТЬ,Черкаська регіональна організація політичної партії СИЛА І ЧЕСТЬ,33363204,Черкаська обл.,2022-12-31,4,2022
"ТВБВ№124/080 філія- Чернігівське обласне управління АТ""Ощадбанк""",Поточний рахунок,UA633535530000026003300691704,2586.58,СИЛА І ЧЕСТЬ,Чернігівська обласна організація,34018288,Чернігівська обл.,2022-12-31,4,2022
"АБ""УКРГАЗБАНК""",Поточний рахунок,UA653204780000026008924893836,105.03,СИЛА І ЧЕСТЬ,Івано-Франківська обласна організація,34077542,Івано-Франківська обл.,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA083052990000026002031025345,3061.76,СИЛА І ЧЕСТЬ,Львівська обласна організація,33981638,Львівська обл.,2022-12-31,4,2022
ФХАРКIВСЬКЕ ОБЛАСНЕ У АТОЩАД М.ХАРКIВ,Поточний рахунок,UA453518230000026002300736507,0.00,СИЛА І ЧЕСТЬ,Харківська обласна організація,33291780,Харківська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA683052990000026004044919059,9361.00,СИЛА І ЧЕСТЬ,Одеська обласна організація,33386279,Одеська обл.,2022-12-31,4,2022
"АТ КБ ""ПриватБанк""",Поточний рахунок,UA773052990000026008026401655,0.00,СИЛА І ЧЕСТЬ,Хмельницька обласна організація,43795837,Хмельницька обл.,2022-12-31,4,2022
"АТ КБ ""ПриватБанк""",Поточний рахунок,UA593052990000026002036400749,0.00,СИЛА І ЧЕСТЬ,Хмельницька обласна організація,43795837,Хмельницька обл.,2022-12-31,4,2022
"АБ ""Укргазбанк""",Поточний рахунок,UA343204780000026001924893662,82361.90,СИЛА І ЧЕСТЬ,Волинська обласна організація,33381532,Волинська обл.,2022-12-31,4,2022
"АБ ""Південний""",Поточний рахунок,UA643282090000026003000012515,0.00,СИЛА І ЧЕСТЬ,Кіровоградська обласна організація,33962971,Кіровоградська обл.,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA593052990000026003016402904,119363.00,СИЛА І ЧЕСТЬ,Житомирська обласна організація,43817242,Житомирська обл.,2022-12-31,4,2022
"Вінницька філія АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA393026890000026007055372143,0.00,СИЛА І ЧЕСТЬ,Вінницька регіональна організація політичної партії СИЛА І ЧЕСТЬ,33966173,Вінницька обл.,2022-12-31,4,2022
"Вінницька філія АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA603052990000026007026109152,13877.77,СИЛА І ЧЕСТЬ,Вінницька регіональна організація політичної партії СИЛА І ЧЕСТЬ,33966173,Вінницька обл.,2022-12-31,4,2022
АТ КБ Приватбанк,Поточний рахунок,UA333052990000026007050538506,1965.28,СИЛА І ЧЕСТЬ,Дніпропетровська обласна організація,43820695,Дніпропетровська обл.,2022-12-31,4,2022
"АТ ""Укрексімбанк""",Поточний рахунок,UA113223130000026005000045636,44795.23,СИЛА І ЧЕСТЬ,Сумська обласна організація,43810933,Сумська обл.,2022-12-31,4,2022
"АТ ""УКРЕКСІМБАНК""",Поточний рахунок,UA443223130000026005000045915,0.00,СИЛА І ЧЕСТЬ,Закарпатська регіональна організація політичної партії СИЛА І ЧЕСТЬ,33985386,Закарпатська обл.,2022-12-31,4,2022
"Фiлiя-Рiвненське обласне управлiння АТ ""Ощадбанк""",Поточний рахунок,UA593333680000026009300749343,6597.25,СИЛА І ЧЕСТЬ,Рівненська обласна організація,33408779,Рівненська обл.,2022-12-31,4,2022
"АТ ""Ощадбанк""",Поточний рахунок,UA833226690000026009301688170,0.00,СИЛА І ЧЕСТЬ,Київська міська організація,43778002,м.Київ,2022-12-31,4,2022
АТ Ощадбанк,Поточний рахунок,UA643226690000026006300735492,8591.54,СИЛА І ЧЕСТЬ,Київська обласна організація,43822100,Київська обл.,2022-12-31,4,2022
АТ КП ПРИВАТБАНК,Поточний рахунок,UA703052990000026008021205685,531.38,СИЛА І ЧЕСТЬ,Полтавська обласна організація,43822514,Полтавська обл.,2022-12-31,4,2022
АТ КП ПРИВАТБАНК,Поточний рахунок,UA693314010000026009054229651,0.00,СИЛА І ЧЕСТЬ,Полтавська обласна організація,43822514,Полтавська обл.,2022-12-31,4,2022
"АТ ""Ощадбанк""",Поточний рахунок,UA433226690000026006300663605,3823.26,СИЛА І ЧЕСТЬ,Центральний офіс,33308363,Україна,2022-12-31,4,2022
"АТ ""Укрексімбанк""",Поточний рахунок,UA473223130000026003000042534,449.18,СИЛА І ЧЕСТЬ,Центральний офіс,33308363,Україна,2022-12-31,4,2022
