Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA613375460000026009055020252,0.00,СИЛА ЛЮДЕЙ,СУМСЬКА ОБЛАСНА організація,40335165,Сумська обл.,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA583052990000026006015112720,0.00,СИЛА ЛЮДЕЙ,КІРОВОГРАДСЬКА ОБЛАСНА організація,40022674,Кіровоградська обл.,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA283052990000026006025103581,0.00,СИЛА ЛЮДЕЙ,КІРОВОГРАДСЬКА ОБЛАСНА організація,40022674,Кіровоградська обл.,2022-12-31,4,2022
" АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA293387830000026001055129857,0.00,СИЛА ЛЮДЕЙ,ЧОРТКІВСЬКА МІСЬКА організація,39921438,Тернопільська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA743052990000026004043300603,0.00,СИЛА ЛЮДЕЙ,ЧОРТКІВСЬКА МІСЬКА організація,39921438,Тернопільська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA343052990000026006010102229,167.00,СИЛА ЛЮДЕЙ,ОБУХІВСЬКА МІСЬКА організація,40053477,Київська обл.,2022-12-31,4,2022
"Тернопільська філія АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA423387830000026000055128008,0.00,СИЛА ЛЮДЕЙ,ЧОРТКІВСЬКА РАЙОННА організація,39921464,Тернопільська обл.,2022-12-31,4,2022
"Тернопільська філія АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA983052990000026006023300449,0.00,СИЛА ЛЮДЕЙ,ЧОРТКІВСЬКА РАЙОННА організація,39921464,Тернопільська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA183052990000026005015009878,0.00,СИЛА ЛЮДЕЙ,КОЗЯТИНСЬКА МІСЬКА організація,40158697,Вінницька обл.,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA793052990000026008030702793,8898.75,СИЛА ЛЮДЕЙ,ВАРАСЬКА МІСЬКА організація,40220555,Рівненська обл.,2022-12-31,4,2022
"СФ КБ ""Приватбанк""",Поточний рахунок,UA173375460000026005055017106,6070.00,СИЛА ЛЮДЕЙ,ТРОСТЯНЕЦЬКА РАЙОННА організація,39713177,Сумська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA533052990000026004000117163,0.00,СИЛА ЛЮДЕЙ,БОРИСПІЛЬСЬКА МІСЬКА організація,39993209,Київська обл.,2022-12-31,4,2022
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA113052990000026003036216794,4058.76,СИЛА ЛЮДЕЙ,КИЇВСЬКА МІСЬКА організація,39989915,м.Київ,2022-12-31,4,2022
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA133007110000026003052764578,0.00,СИЛА ЛЮДЕЙ,КИЇВСЬКА МІСЬКА організація,39989915,м.Київ,2022-12-31,4,2022
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA253007110000026000052604705,0.00,СИЛА ЛЮДЕЙ,КИЇВСЬКА МІСЬКА організація,39989915,м.Київ,2022-12-31,4,2022
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA213052990000026009026202712,0.00,СИЛА ЛЮДЕЙ,КИЇВСЬКА МІСЬКА організація,39989915,м.Київ,2022-12-31,4,2022
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA363052990000026000016240169,0.00,СИЛА ЛЮДЕЙ,КИЇВСЬКА МІСЬКА організація,39989915,м.Київ,2022-12-31,4,2022
"ПАТ КБ ""ПриватБанк""",Поточний рахунок,UA633052990000026008036200459,0.00,СИЛА ЛЮДЕЙ,ПЕЧЕРСЬКА РАЙОННА організація,40578087,м.Київ,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA923387830000026005055131982,0.00,СИЛА ЛЮДЕЙ,ТЕРНОПІЛЬСЬКА МІСЬКА організація,40053063,Тернопільська обл.,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA233052990000026002003304124,1802.82,СИЛА ЛЮДЕЙ,ТЕРНОПІЛЬСЬКА МІСЬКА організація,40053063,Тернопільська обл.,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA173052990000026000010400723,2094.10,СИЛА ЛЮДЕЙ,КРИВОРІЗЬКА МІСЬКА організація,40009611,Дніпропетровська обл.,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA813052990000026004040102581,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA593354290000026000054026152,56120.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA633052990000026008025011121,15.55,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA173052990000026009005021185,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA743052990000026004035012244,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA183052990000026003005002359,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA523052990000026007035003517,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA173052990000026006025014539,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
