Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК «ПРИВАТБАНК»,поточний рахунок,UA623052990000026007050259982,0.00,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,ДНІПРОПЕТРОВСЬКА ОБЛАСНА РЕГІОНАЛЬНА ПАРТОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,39874446,Дніпропетровська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA473366770000026007052513345,0.00,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,ІВАНО-ФРАНКІВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,39915162,Івано-Франківська обл.,2022-12-31,4,2022
ПАТ КБ Приватбанк,Поточний рахунок,UA773052990000026008030801672,0.00,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,ВОЛИНСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ-УКРОП,39946248,Волинська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA923355480000026008053610043,28.68,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,ДОНЕЦЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,39977234,Донецька обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA693133990000026004055743117,0.00,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,ЗАПОРІЗЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,39923938,Запорізька обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA383052990000026006036204372,7.88,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,КИЇВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,39949818,Київська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA673047950000026007053718459,0.00,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,ЛУГАНСЬКА ОБЛАСНА РЕГІОНАЛЬНА ПАРТОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,39965606,Луганська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA073287040000026004054327711,10.28,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,ОДЕСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ-УКРОП,39994815,Одеська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA483314010000026003054616293,0.00,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,ПОЛТАВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,39947896,Полтавська обл.,2022-12-31,4,2022
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA853515330000026001052207545,0.00,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,ХАРКІВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ-УКРОП,39973329,Харківська обл.,2022-12-31,4,2022
АТ КБ Приватбанк,Поточний рахунок,UA413524790000026002052244213,0.00,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,ХЕРСОНСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,39904145,Херсонська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA643154050000026001052423138,0.00,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,ХМЕЛЬНИЦЬКА ОБЛАСНА РЕГІОНАЛЬНА ПАРТОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,39933490,Хмельницька обл.,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA843543470000026005051524627,0.00,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,ЧЕРКАСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,39945181,Черкаська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA703052990000026001036301645,0.00,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,ЧЕРНІГІВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,39941035,Чернігівська обл.,2022-12-31,4,2022
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA583052990000026007006214391,0.00,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,КИЇВСЬКА МІСЬКА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,39976560,м.Київ,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA663375460000026000055016685,0.00,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,СУМСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ-УКРОП,39945637,Сумська обл.,2022-12-31,4,2022
АТ КБ Приватбанк,Поточний рахунок,UA623387830000026002055111187,0.00,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,ТЕРНОПІЛЬСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,39943199,Тернопільська обл.,2022-12-31,4,2022
АТ КБ Приватбанк,Поточний рахунок,UA063562820000026007051500149,0.00,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,ЧЕРНІВЕЦЬКА ОБЛАСНА РЕГІОНАЛЬНА ПАРТОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,39914462,Чернівецька обл.,2022-12-31,4,2022
"ПАТ КБ""Приватбанк""",Поточний рахунок,UA573333910000026007054729799,0.00,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,РІВНЕНСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,39914504,Рівненська обл.,2022-12-31,4,2022
"ПАТ КБ ""Приватбанк""",Поточний рахунок,UA033052990000026003016101078,0.00,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,ВІННИЦЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,39901123,Вінницька обл.,2022-12-31,4,2022
"АТ ""ПУМБ""",Поточний рахунок,UA213348510000000026000109734,5.44,УКРАЇНСЬКЕ ОБʼЄДНАННЯ ПАТРІОТІВ - УКРОП,Центральний офіс,39479782,Україна,2022-12-31,4,2022
