Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"АТ КБ ""Приватбанк""",Поточний рахунок,UA173052990000026006010130956,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Білоцерківська районна організація Народного Руху України,34846058,Київська обл.,2023-12-31,4,2023
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA683052990000026005025512720,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Калуська міська організація Народного Руху України,26290113,Івано-Франківська обл.,2023-12-31,4,2023
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA113052990000026007010702554,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Костопільська районна організація Народного Руху України,22577208,Рівненська обл.,2023-12-31,4,2023
"АТ ""Кредобанк""",Поточний рахунок,UA383253650000000026006012799,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Золочівська районна організація Народного руху України,20859486,Львівська обл.,2023-12-31,4,2023
"ТВБВ №10013/03 філії ЛОУ АТ ""Ощадбанк""",Поточний рахунок,UA653257960000026009300463672,413.00,НАРОДНИЙ РУХ УКРАЇНИ,Львівська міська організація Народного Руху України,37162200,Львівська обл.,2023-12-31,4,2023
ПАТ Полікомбанк,Поточний рахунок,UA023531000000000026009046853,23.52,НАРОДНИЙ РУХ УКРАЇНИ,Чернігівська обласна організація Народного Руху України,14253147,Чернігівська обл.,2023-12-31,4,2023
АТ КБ Приватбанк,Поточний рахунок,UA343052990000026005040701204,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Рівненська обласна (крайова) організація Народного Руху України,13982080,Рівненська обл.,2023-12-31,4,2023
Філія Закарпатське ОУ АТ ОЩАДБАНК м.Ужгород,Поточний рахунок,UA053123560000026009300730189,363.73,НАРОДНИЙ РУХ УКРАЇНИ,Закарпатська крайова організація Народного Руху України,22111912,Закарпатська обл.,2023-12-31,4,2023
"Акціонерне товариство ""Полтава-банк""",Поточний рахунок,UA723314890000026009228023001,117.83,НАРОДНИЙ РУХ УКРАЇНИ,Полтавська крайова організація Народного Руху України,21063111,Полтавська обл.,2023-12-31,4,2023
АТ КБ Приватбанк,Поточний рахунок,UA103366770000026002052552011,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Косівська районна організація Народного Руху України,25654978,Івано-Франківська обл.,2023-12-31,4,2023
Івано-Франківське АТОщадбанк м. Івано-Франківськ,Поточний рахунок,UA793365030000026001300272846,67.92,НАРОДНИЙ РУХ УКРАЇНИ,Івано-Франківська крайова організація Народного Руху України,20554752,Івано-Франківська обл.,2023-12-31,4,2023
"АТ КБ ""Приватбанк""",Поточний рахунок,UA753052990000026000040802001,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Луцька міська організація Народного Руху України,40009281,Волинська обл.,2023-12-31,4,2023
"АТ КБ ""Приватбанк""",Поточний рахунок,UA373052990000026002040801259,283.13,НАРОДНИЙ РУХ УКРАЇНИ,Волинська крайова організація Народного Руху України,21734841,Волинська обл.,2023-12-31,4,2023
Відділення ПУМБ в м.Миколаїв,Поточний рахунок,UA493348510000026004996108073,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Миколаївська крайова організація Народного Руху України,20872392,Миколаївська обл.,2023-12-31,4,2023
ПАТ АБ УКРГАЗБАНК,Поточний рахунок,UA703204780000026002924861455,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Бориспільська міська організація Народного Руху України,24216035,Київська обл.,2023-12-31,4,2023
ПАТ АБ УКГЗБАНК,картковий рахунок,UA663204780000026004924892790,64.95,НАРОДНИЙ РУХ УКРАЇНИ,Бориспільська міська організація Народного Руху України,24216035,Київська обл.,2023-12-31,4,2023
АТ БК ПРИВАТБАНК,Поточний рахунок,UA983052990000026004005017569,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Київська обласна (крайова) організація Народного Руху України,23492833,м.Київ,2023-12-31,4,2023
АТ КБ «ПриватБанк»,Поточний рахунок,UA463052990000026001035009261,83300.00,НАРОДНИЙ РУХ УКРАЇНИ,Київська міська організація Народного Руху України,21656532,м.Київ,2023-12-31,4,2023
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA093052990000026005026101505,3395.65,НАРОДНИЙ РУХ УКРАЇНИ,Вінницька крайова організація Народного Руху України,21726149,Вінницька обл.,2023-12-31,4,2023
"АТ КБ ""Приватбанк""",Поточний рахунок,UA403052990000026006036004710,36.72,НАРОДНИЙ РУХ УКРАЇНИ,Хмельницька крайова організація НРУ,21324385,Хмельницька обл.,2023-12-31,4,2023
АТ КБ Приватбанк,Поточний рахунок,UA213366770000026429052502860,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Калуська районна організація Народного Руху України,26430293,Івано-Франківська обл.,2023-12-31,4,2023
АТ КБ Приватбанк,Поточний рахунок,UA433366770000026426052500917,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Калуська районна організація Народного Руху України,26430293,Івано-Франківська обл.,2023-12-31,4,2023
"ТВБВ №10013/03 філії ЛОУ АТ ""Ощадбанк""",Поточний рахунок,UA363257960000026009300368164,208727.03,НАРОДНИЙ РУХ УКРАЇНИ,Львівська крайова організація політичної партії Народний Рух України,20806283,Львівська обл.,2023-12-31,4,2023
"АБ ""Украгазбанк""",Поточний рахунок,UA243204780000026043903293036,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Центральний офіс,00013209,Україна,2023-12-31,4,2023
