Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
АТ КБ Приватбанк,рахунок нарахування відсотків,UA833052990000026180021000559,0.00,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,ЛЬВІВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,25250005,Львівська обл.,2023-12-31,4,2023
АТ КБ Приватбанк,рахунок нарахування відсотків,UA983052990000026081021000551,0.00,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,ЛЬВІВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,25250005,Львівська обл.,2023-12-31,4,2023
АТ КБ Приватбанк,Вкладний (депозитний) рахунок,UA443052990000026008001022781,0.00,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,ЛЬВІВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,25250005,Львівська обл.,2023-12-31,4,2023
АТ КБ Приватбанк,Вкладний (депозитний) рахунок,UA803052990000026108001000788,0.00,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,ЛЬВІВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,25250005,Львівська обл.,2023-12-31,4,2023
АТ КБ Приватбанк,Поточний рахунок,UA633052990000026002041002648,146269.86,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,ЛЬВІВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,25250005,Львівська обл.,2023-12-31,4,2023
"АБ ""Укргазбанк""",Поточний рахунок,UA073204780000026008924444412,59.20,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,ПОЛТАВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,25784095,Полтавська обл.,2023-12-31,4,2023
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA123052990000026003030704945,1906.50,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,РІВНЕНСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,25797494,Рівненська обл.,2023-12-31,4,2023
"АТ ""ПУМБ""",Поточний рахунок,UA893348510000000026007127236,0.00,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,МИКОЛАЇВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,23400771,Миколаївська обл.,2023-12-31,4,2023
"Акціонерне товариство ""Державний експортно-імпортний банк України""",Поточний рахунок,UA323223130000026006000045709,1320.00,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,ЗАКАРПАТСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,25446487,Закарпатська обл.,2023-12-31,4,2023
"АБ ""УКРГАЗБАНК""",Поточний рахунок,UA603204780000026008001581384,178178.30,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,Центральний офіс,21710533,Україна,2023-12-31,4,2023
"АБ ""УКРГАЗБАНК""",картковий,UA133204780000026000924914832,117.74,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,Центральний офіс,21710533,Україна,2023-12-31,4,2023
