Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"Акціонерне товариство ""ПриватБанк""",Поточний рахунок,UA733355480000026001053625949,0.00,ГОЛОС,ДОНЕЦЬКА ОБЛАСНА ТЕРИТОРІАЛЬНА організація,43822912,Донецька обл.,2024-06-30,2,2024
"Акціонерне товариство ""ПриватБанк""",Поточний рахунок,UA123355480000026004053633444,0.00,ГОЛОС,ДОНЕЦЬКА ОБЛАСНА ТЕРИТОРІАЛЬНА організація,43822912,Донецька обл.,2024-06-30,2,2024
"АТ ""Райффазен банк Аваль"" ",Поточний рахунок,UA583808050000000026006665221,93.98,ГОЛОС,РІВНЕНСЬКА ОБЛАСНА ТЕРИТОРІАЛЬНА організація,43315659,Рівненська обл.,2024-06-30,2,2024
"АТ ""Райффазен Банк""",Поточний рахунок,UA913808050000000026008742852,0.00,ГОЛОС,РІВНЕНСЬКА ОБЛАСНА ТЕРИТОРІАЛЬНА організація,43315659,Рівненська обл.,2024-06-30,2,2024
"АТ ""РАЙФФАЙЗЕН БАНК АВАЛЬ"" ",Поточний рахунок,UA163808050000000026004700854,0.00,ГОЛОС,ЗАКАРПАТСЬКА ОБЛАСНА ТЕРИТОРІАЛЬНА організація,43752568,Закарпатська обл.,2024-06-30,2,2024
"АТ"" Райффайзен Банк Аваль""",поточний,UA873808050000000026002678096,0.00,ГОЛОС,ДНІПРОПЕТРОВСЬКА ОБЛАСНА ТЕРИТОРІАЛЬНА організація,43433560,Дніпропетровська обл.,2024-06-30,2,2024
"АТ"" Райффайзен Банк Аваль""",поточний,UA983808050000000026001745243,0.00,ГОЛОС,ДНІПРОПЕТРОВСЬКА ОБЛАСНА ТЕРИТОРІАЛЬНА організація,43433560,Дніпропетровська обл.,2024-06-30,2,2024
"АТ ""РАЙФФАЙЗЕН БАНК АВАЛЬ"" ",поточний рахунок,UA503808050000000026007694826,0.00,ГОЛОС,ЖИТОМИРСЬКА ОБЛАСНА ТЕРИТОРІАЛЬНА організація,43649580,Житомирська обл.,2024-06-30,2,2024
"АТ ""РАЙФФАЙЗЕН БАНК АВАЛЬ"" ",поточний рахунок,UA143808050000000026000742902,0.00,ГОЛОС,ЖИТОМИРСЬКА ОБЛАСНА ТЕРИТОРІАЛЬНА організація,43649580,Житомирська обл.,2024-06-30,2,2024
"АТ ""РАЙФФАЙЗЕН БАНК АВАЛЬ""",поточний,UA573808050000000026003700822,0.00,ГОЛОС,Полтавська обласна територіальна організація,43814037,Полтавська обл.,2024-06-30,2,2024
"АТ ""РАЙФФАЙЗЕН БАНК АВАЛЬ""",поточний,UA733808050000000026005764985,0.00,ГОЛОС,Полтавська обласна територіальна організація,43814037,Полтавська обл.,2024-06-30,2,2024
"АТ ""Райффайзен Банк""",Транзитнийрахунок,UA023003350000000290392150675,2043.82,ГОЛОС,ЛЬВІВСЬКА ОБЛАСНА ТЕРИТОРІАЛЬНА організація,43311440,Львівська обл.,2024-06-30,2,2024
