Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
" АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA693052990000026001026101725,14800.11,ЗА МАЙБУТНЄ,ВІННИЦЬКА ОБЛАСНА організація,36474205,Вінницька обл.,2024-06-30,2,2024
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA593133990000026000060757363,0.00,ЗА МАЙБУТНЄ,ЗАПОРІЗЬКА ОБЛАСНА організація,37020829,Запорізька обл.,2024-06-30,2,2024
Полікомбанк Чернігів код банку 353100,Поточний рахунок,UA073531000000026009001061195,24342.40,ЗА МАЙБУТНЄ,ЧЕРНІГІВСЬКА ОБЛАСНА організація,36655097,Чернігівська обл.,2024-06-30,2,2024
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA433375460000026007055029277,471645.28,ЗА МАЙБУТНЄ,СУМСЬКА ОБЛАСНА організація,43540318,Сумська обл.,2024-06-30,2,2024
"АТ КБ ""ПриватБанк""",Поточний рахунок,UA113052990000026003031009058,906.49,ЗА МАЙБУТНЄ,ЛЬВІВСЬКА ОБЛАСНА організація,36659966,Львівська обл.,2024-06-30,2,2024
КБ Приватбанк,Поточний рахунок,UA863052990000026003031103738,14812.94,ЗА МАЙБУТНЄ,ХЕРСОНСЬКА ОБЛАСНА організація,37631480,Херсонська обл.,2024-06-30,2,2024
"АТ ""УКРЕКСІМБАНК""",Поточний рахунок,UA933223130000026005000045227,0.00,ЗА МАЙБУТНЄ,ЖИТОМИРСЬКА ОБЛАСНА організація,36681991,Житомирська обл.,2024-06-30,2,2024
"АТ КБ ""ПРИВАТ БАНК""",Поточний рахунок,UA193052990000026008005503176,104160.03,ЗА МАЙБУТНЄ,ІВАНО-ФРАНКІВСЬКА ОБЛАСНА організація,36732616,Івано-Франківська обл.,2024-06-30,2,2024
"відділення №2 Акціонерне товариство ""Перший Український Міжнародний банк"" в м.Кременчук",Поточний рахунок,UA483348510000000026007125937,913080.47,ЗА МАЙБУТНЄ,ПОЛТАВСЬКА ОБЛАСНА організація,36454702,Полтавська обл.,2024-06-30,2,2024
"ТВБВ№10016/0200 філія Полтавського обласного управління АТ ""Ощадбанк""",Поточний рахунок,UA613314670000026006300722362,0.00,ЗА МАЙБУТНЄ,ПОЛТАВСЬКА ОБЛАСНА організація,36454702,Полтавська обл.,2024-06-30,2,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA053052990000026007043304071,4863.49,ЗА МАЙБУТНЄ,ТЕРНОПІЛЬСЬКА ОБЛАСНА організація,36721143,Тернопільська обл.,2024-06-30,2,2024
"ФІЛІЯ-ДОНЕЦЬКЕ ОБЛАСНЕ УПРАВЛІННЯ АКЦІОНЕРНОГО ТОВАРИСТВА ""ДЕРЖАВНИЙ ОЩАДНИЙ БАНК УКРАЇНИ""",Поточний рахунок,UA793351060000026005300711328,172466.16,ЗА МАЙБУТНЄ,ДОНЕЦЬКА ОБЛАСНА організація,36443774,Донецька обл.,2024-06-30,2,2024
"ЧФ ПАТ КБ ""Приватбанк""",Поточний рахунок,UA463052990000026003001804056,391989.19,ЗА МАЙБУТНЄ,ЧЕРНІВЕЦЬКА ОБЛАСНА організація,37596834,Чернівецька обл.,2024-06-30,2,2024
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA233052990000026004045005520,0.00,ЗА МАЙБУТНЄ,КИЇВСЬКА МІСЬКА організація,36757337,м.Київ,2024-06-30,2,2024
"ПАТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA673515330000026005052167090,71012.00,ЗА МАЙБУТНЄ,ХАРКІВСЬКА ОБЛАСНА організація,36818462,Харківська обл.,2024-06-30,2,2024
"АТ ""ПУМБ""",Поточний рахунок,UA453348510000000026001124989,835201.61,ЗА МАЙБУТНЄ,ВОЛИНСЬКА ОБЛАСНА організація,37029088,Волинська обл.,2024-06-30,2,2024
АТ «ОЩАДБАНК»,Поточний рахунок,UA313288450000026001300676660,98900.70,ЗА МАЙБУТНЄ,ОДЕСЬКА ОБЛАСНА організація,36612687,Одеська обл.,2024-06-30,2,2024
"АТ""БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ",Поточний рахунок,UA623802810000026003024429001,1277.17,ЗА МАЙБУТНЄ,КИЇВСЬКА ОБЛАСНА організація,35089318,Київська обл.,2024-06-30,2,2024
"ПуАТ ""КБ""АКОРДБАНК""",Поточний рахунок,UA403806340000026005167150001,25109.34,ЗА МАЙБУТНЄ,ХМЕЛЬНИЦЬКА ОБЛАСНА організація,43556485,Хмельницька обл.,2024-06-30,2,2024
Миколаївське РУ АТ КБ Приватбанк,Поточний рахунок,UA943052990000026005041710670,161.24,ЗА МАЙБУТНЄ,МИКОЛАЇВСЬКА ОБЛАСНА організація,37518211,Миколаївська обл.,2024-06-30,2,2024
"АКЦІОНЕРНЕ ТОВАРИСТВО ""ПЕРШИЙ УКРАЇНСЬКИЙ МІЖНАРОДНИЙ БАНК""",Поточний рахунок,UA603348510000000026000126201,259.40,ЗА МАЙБУТНЄ,ЧЕРКАСЬКА ОБЛАСНА організація,37551945,Черкаська обл.,2024-06-30,2,2024
"АКЦIОНЕРНЕ ТОВАРИСТВО ""ПЕРШИЙ УКРАЇНСЬКИЙ МIЖНАРОДНИЙ БАНК"" МФО 334851",Поточний рахунок,UA793348510000000026005125627,0.00,ЗА МАЙБУТНЄ,ДНІПРОПЕТРОВСЬКА ОБЛАСНА організація,36639798,Дніпропетровська обл.,2024-06-30,2,2024
"АТ ""ПУМБ""",Поточний рахунок,UA353348510000000026001112559,359256.18,ЗА МАЙБУТНЄ,Центральний офіс,36088708,Україна,2024-06-30,2,2024
"АТ ""ПУМБ""",Картковий рахунок,UA873348510000000026006167651,0.00,ЗА МАЙБУТНЄ,Центральний офіс,36088708,Україна,2024-06-30,2,2024
"АТ ""ПУМБ""",Картковий рахунок,UA133348510000000026005167652,0.00,ЗА МАЙБУТНЄ,Центральний офіс,36088708,Україна,2024-06-30,2,2024
