Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"ПуАТ ""КБ ""АКОРДБАНК""",Поточний рахунок,UA823806340000026000163438001,386.10,РІДНЕ МІСТО,Горішньоплавнівська міська організація,43424493,Полтавська обл.,2024-06-30,2,2024
"Гадяцьке управління АТ ""Полтава-банк""",Поточний рахунок,UA453314890000026006227674001,36137.04,РІДНЕ МІСТО,Гадяцька міська організація,40029308,Полтавська обл.,2024-06-30,2,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA633052990000026008031203116,0.00,РІДНЕ МІСТО,Козельщанська районна організація,39958426,Полтавська обл.,2024-06-30,2,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA753052990000026003031206174,0.00,РІДНЕ МІСТО,Котелевська районна організація,39601657,Полтавська обл.,2024-06-30,2,2024
"Філія АТ ""Ощадбанк""",Поточний рахунок,UA653314670000026009300507915,0.00,РІДНЕ МІСТО,Кременчуцька районна організація,44181363,Полтавська обл.,2024-06-30,2,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA173052990000026001021202124,0.00,РІДНЕ МІСТО,Лубенська міська організація,39598147,Полтавська обл.,2024-06-30,2,2024
"АТ ""Полтава-банк""",Поточний рахунок,UA603314890000026006226404001,290.28,РІДНЕ МІСТО,Полтавська міська організація,39367492,Полтавська обл.,2024-06-30,2,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA053052990000026002011208881,178.78,РІДНЕ МІСТО,Полтавська міська організація,39367492,Полтавська обл.,2024-06-30,2,2024
"АТ ""Полтава-банк""",Поточний рахунок,UA723314890000026000216335001,59.04,РІДНЕ МІСТО,Полтавська обласна організація,36930832,Полтавська обл.,2024-06-30,2,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA123052990000026002001207182,38155.99,РІДНЕ МІСТО,Полтавська обласна організація,36930832,Полтавська обл.,2024-06-30,2,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA123052990000026000041202387,0.00,РІДНЕ МІСТО,Семенівська районна організація,39945595,Полтавська обл.,2024-06-30,2,2024
Філія АТ «Ощадбанк»,Поточний рахунок,UA313314670000026002300759801,2203.26,РІДНЕ МІСТО,Кременчуцька міська організація,39966704,Полтавська обл.,2024-06-30,2,2024
"Філія АТ ""Ощадбанк""",Поточний рахунок,UA573314670000026006300888983,1965.00,РІДНЕ МІСТО,Решетилівська районна організація,39952178,Полтавська обл.,2024-06-30,2,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA943515330000026009052167535,0.00,РІДНЕ МІСТО,Харківська обласна організація,43726407,Харківська обл.,2024-06-30,2,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,№UA283052990000026006021204763,0.00,РІДНЕ МІСТО,Полтавська районна організація,39578859,Полтавська обл.,2024-06-30,2,2024
"АТ КБ ""Глобус""",Поточний рахунок,UA703805260000026003001167778,0.00,РІДНЕ МІСТО,Хмельницька обласна організація,36819555,Хмельницька обл.,2024-06-30,2,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA413052990000026009031201441,0.00,РІДНЕ МІСТО,Чутівська районна організація,39685077,Полтавська обл.,2024-06-30,2,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA053052990000026006006302776,76004.06,РІДНЕ МІСТО,Чернігівська обласна організація,37225474,Чернігівська обл.,2024-06-30,2,2024
"АТ ""Полтава-Банк""",Поточний рахунок,UA533314890000026006210539001,299.61,РІДНЕ МІСТО,Центральний офіс,36681860,Україна,2024-06-30,2,2024
"АТ КБ ""Глобус""",Поточний рахунок,UA703805260000026003001167778,0.00,РІДНЕ МІСТО,Хмельницька обласна організація,36819555,Хмельницька обл.,2024-09-30,3,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA943515330000026009052167535,0.00,РІДНЕ МІСТО,Харківська обласна організація,43726407,Харківська обл.,2024-09-30,3,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,№UA283052990000026006021204763,0.00,РІДНЕ МІСТО,Полтавська районна організація,39578859,Полтавська обл.,2024-09-30,3,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA173052990000026001021202124,0.00,РІДНЕ МІСТО,Лубенська міська організація,39598147,Полтавська обл.,2024-09-30,3,2024
"Філія АТ ""Ощадбанк""",Поточний рахунок,UA653314670000026009300507915,0.00,РІДНЕ МІСТО,Кременчуцька районна організація,44181363,Полтавська обл.,2024-09-30,3,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA753052990000026003031206174,0.00,РІДНЕ МІСТО,Котелевська районна організація,39601657,Полтавська обл.,2024-09-30,3,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA053052990000026006006302776,76004.06,РІДНЕ МІСТО,Чернігівська обласна організація,37225474,Чернігівська обл.,2024-09-30,3,2024
"Філія АТ ""Ощадбанк""",Поточний рахунок,UA573314670000026006300888983,0.00,РІДНЕ МІСТО,Решетилівська районна організація,39952178,Полтавська обл.,2024-09-30,3,2024
"АТ ""Полтава-банк""",Поточний рахунок,UA723314890000026000216335001,59.04,РІДНЕ МІСТО,Полтавська обласна організація,36930832,Полтавська обл.,2024-09-30,3,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA123052990000026002001207182,39970.99,РІДНЕ МІСТО,Полтавська обласна організація,36930832,Полтавська обл.,2024-09-30,3,2024
"Гадяцьке управління АТ ""Полтава-банк""",Поточний рахунок,UA453314890000026006227674001,36137.96,РІДНЕ МІСТО,Гадяцька міська організація,40029308,Полтавська обл.,2024-09-30,3,2024
"ПуАТ ""КБ ""АКОРДБАНК""",Поточний рахунок,UA823806340000026000163438001,386.10,РІДНЕ МІСТО,Горішньоплавнівська міська організація,43424493,Полтавська обл.,2024-09-30,3,2024
Філія АТ «Ощадбанк»,Поточний рахунок,UA313314670000026002300759801,1339.26,РІДНЕ МІСТО,Кременчуцька міська організація,39966704,Полтавська обл.,2024-09-30,3,2024
"АТ ""Полтава-банк""",Поточний рахунок,UA603314890000026006226404001,290.28,РІДНЕ МІСТО,Полтавська міська організація,39367492,Полтавська обл.,2024-09-30,3,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA053052990000026002011208881,308.03,РІДНЕ МІСТО,Полтавська міська організація,39367492,Полтавська обл.,2024-09-30,3,2024
"АТ ""Полтава-Банк""",Поточний рахунок,UA533314890000026006210539001,299.61,РІДНЕ МІСТО,Центральний офіс,36681860,Україна,2024-09-30,3,2024
